metric,left_mean,right_mean,paired_difference_mean,paired_difference_se,paired_ci95_low,paired_ci95_high,paired_correlation,unpaired_difference_se
terminal_pnl,2114.050408529544,2107.547757456449,-6.502651073095249,0.2799116769816108,-7.051277959979206,-5.954024186211292,0.9984350331116462,6.914659794861934
penalized_pnl,1909.3564910168177,1909.3429826724807,-0.013508344337218318,0.28132953704716573,-0.5649142369496633,0.5378975482752265,0.9985369300115551,7.175303174868372
spread_capture,2106.0744231450185,2099.934898365289,-6.139524779729322,0.1087172412065906,-6.352610572494239,-5.9264389869644045,0.9985803117963059,2.884534143116398
alpha_carry,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
price_martingale,7.975985384525964,7.612859091160041,-0.36312629336592517,0.25303019913057584,-0.8590654836618539,0.13281289693000348,0.998545989455259,6.4034714947367215
running_penalty,204.69391751272613,198.2047747839681,-6.489142728758029,0.048772958418822676,-6.584737727258922,-6.393547730257136,0.9963322950432283,0.762611141214364
terminal_penalty,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
fills,3553.222,3549.905,-3.317,0.1719652334652571,-3.654051857591904,-2.9799481424080962,0.9990133105312629,5.4720885155359955
avg_abs_inventory,5.671259190000679,5.573618812500647,-0.09764037750003204,0.0006516377244176547,-0.09891758743989065,-0.09636316756017343,0.9970559278504642,0.011745903769700416
avg_q2,45.48753722499995,44.045505507499925,-1.4420317175000241,0.010838435204170556,-1.4632750505001983,-1.42078838449985,0.996332295043229,0.16946914249188252
terminal_inventory,-0.132,-0.132,0.0,0.008398527706319537,-0.016461114304386293,0.016461114304386293,0.9986074055088788,0.21604377671372152
