metric,left_mean,right_mean,paired_difference_mean,paired_difference_se,paired_ci95_low,paired_ci95_high,paired_correlation,unpaired_difference_se
terminal_pnl,2554.5385812927148,2415.2928722951083,-139.24570899760647,1.7915049188445125,-142.7570586385417,-135.73435935667123,0.9858347826799901,9.351275103203063
penalized_pnl,2202.2919946235447,2173.369465087319,-28.922529536225543,1.641956679916773,-32.14076462886242,-25.70429444358867,0.9865498542887399,8.987241550931204
spread_capture,522.1460180164236,660.0360080752464,137.88999005882286,0.4428677837523632,137.02196920266823,138.7580109149775,0.9758646475075231,2.61980327358612
alpha_carry,2029.6631486656588,1752.897918114052,-276.76523055160715,0.9683433480243605,-278.6631835137349,-274.8672775894794,0.9866374129091807,4.885848809373838
price_martingale,2.729414610631921,2.358946105809777,-0.3704685048221444,1.3095295595532965,-2.9371464415466053,2.1962094319023167,0.9892298986030795,7.879430649060975
running_penalty,351.44926666917013,241.37727720778918,-110.07198946138095,0.29626192708226856,-110.65266283846219,-109.49131608429971,0.974354262074043,0.8744752025173134
terminal_penalty,0.7973199999999999,0.5461299999999999,-0.25119,0.0060609000325531105,-0.2630693640638041,-0.23931063593619592,0.9594621773910743,0.018658886552355872
fills,3808.744,3728.572,-80.172,0.40994723607823497,-80.97549658271333,-79.36850341728666,0.9957045992299585,6.192240310261708
avg_abs_inventory,7.722571652500986,6.413638430000671,-1.308933222500315,0.00267459659679199,-1.3141754318300272,-1.3036910131706028,0.9786425125169319,0.011798196828106457
avg_q2,78.09983703749954,53.63939493499952,-24.460442102500018,0.06583598379597143,-24.589480630740123,-24.331403574259912,0.9743542620740151,0.19432782278135333
terminal_inventory,0.249,0.226,-0.023,0.04315282821892032,-0.10757954330908381,0.06157954330908382,0.9897368184516143,0.25913227562025937
