alpha_center,count,ask_current,ask_leading_cara,bid_current,bid_leading_cara
-0.11624999999999999,0,nan,nan,nan,nan
-0.10874999999999999,0,nan,nan,nan,nan
-0.10125,0,nan,nan,nan,nan
-0.09375,0,nan,nan,nan,nan
-0.08625,11,-1.03751259807701,-1.0194404698131103,2.092319424878255,2.087385655184512
-0.07874999999999999,65,-1.1167187016234614,-1.1080633798405477,2.173089068826104,2.1759473712645274
-0.07125000000000001,616,-1.1250997373882348,-1.1041456713339532,2.1806476993130053,2.171780456771444
-0.06375,3714,-1.0885557603105287,-1.0604369298333989,2.142937753785914,2.127148663199291
-0.056249999999999994,16586,-1.039596484294849,-1.0116315899072297,2.0931166772120102,2.07755080544124
-0.048749999999999995,54907,-0.9790261674009306,-0.9489915632006198,2.0309779044653014,2.0133567911724857
-0.04125,128194,-0.9024800717342111,-0.8714043517380342,1.9525610451326985,1.9338925507284415
-0.03375,202863,-0.7778235437709875,-0.7451416146568438,1.8247984749538337,1.8044631418325197
-0.026249999999999996,211112,-0.574971151875938,-0.5411312779014744,1.6170563750882134,1.595418607158429
-0.018749999999999996,161406,-0.24328794431325335,-0.21144449796260162,1.277977819582263,1.2580089872031346
-0.011250000000000003,118834,0.12745531368742727,0.1519657814516647,0.9005099073932373,0.8876420634236011
-0.0037500000000000033,105799,0.3996233020019773,0.4118812968865939,0.6258026115881276,0.625210797842202
0.0037500000000000033,105554,0.6286953957274256,0.6278203843627286,0.39673796283309865,0.4092826153272661
0.01125000000000001,118771,0.8969290905963975,0.8841108872517112,0.1309913301272152,0.15546441458834045
0.018750000000000003,160037,1.2798141293232848,1.259335845704367,-0.24510703607532058,-0.21273837140938012
0.026249999999999996,210222,1.615337650973419,1.5933326691958705,-0.5733174498444186,-0.5391249388644753
0.03375,201381,1.8262010745989898,1.8053645550758053,-0.7792154373457463,-0.7460167760961489
0.041249999999999995,126839,1.9534044694895984,1.9342050994353412,-0.9033873135265881,-0.8717878268213332
0.04874999999999999,54156,2.037247008764423,2.0193250113115684,-0.985200890094146,-0.9548741381314837
0.056249999999999994,16562,2.0803689900717623,2.062525286224349,-1.0272037991102514,-0.9969064853207601
0.06375,3671,2.1366162140436367,2.1214631682223275,-1.0820033949781729,-1.0545145050160438
0.07125000000000001,601,2.1562375214916742,2.14524920985769,-1.101171938495915,-1.07791195366015
0.07875,88,2.1470245386574818,2.127804334025267,-1.0907473817602482,-1.0588137122663905
0.08625,10,2.151827872442154,2.0805017798107466,-1.1019563841777043,-1.0171984780050445
0.09375,1,2.7126881586948315,2.807009536035138,-1.6349127020885654,-1.7255978668868552
0.10124999999999999,0,nan,nan,nan,nan
0.10874999999999999,0,nan,nan,nan,nan
0.11624999999999999,0,nan,nan,nan,nan
