i,shift,dshift_di,risk_factor,r_current,r_leading_cara,s_current,s_leading_cara
-6.0,-3.458069278344793,0.13421428394208398,1.0101956891779953,0.11674110029308579,0.11793135626597127,0.0016446526755424002,0.001678360375576483
-5.98,-3.4553676845120647,0.13594847845127794,1.010459497524795,0.11670081309026345,0.11792144495592262,0.0016591138981204977,0.0016940024024083382
-5.96,-3.452631203426133,0.13770304005886205,1.010729779414221,0.11665998181012045,0.11791171768141007,0.0016731371847503564,0.0017092345958105717
-5.94,-3.4498594258965687,0.13947815364309196,1.0110066793228831,0.11661859934171233,0.11790218286775035,0.0016867305650963048,0.0017240655122949707
-5.92,-3.4470519390336305,0.14127400424799585,1.0112903443614847,0.11657665848603065,0.11789284910484912,0.0016999020847987434,0.0017385037343425377
-5.9,-3.444208326245473,0.14309077703139864,1.0115809242977407,0.1165341519550002,0.11788372514689248,0.001712659790652449,0.0017525578555953796
-5.88,-3.441328167236401,0.14492865721111217,1.0118785715782748,0.11649107237046591,0.11787481991184848,0.001725011716740196,0.0017662364669929823
-5.86,-3.438411038006228,0.14678783000924428,1.0121834413494175,0.11644741226317024,0.11786614248077001,0.0017369658714969317,0.0017795481438279605
-5.84,-3.4354565108507593,0.14866848059458254,1.0124956914768342,0.1164031640717202,0.11785770209688773,0.0017485302256776047,0.001792501433694224
-5.82,-3.432464154363452,0.15057079402299817,1.0128154825638946,0.1163583201415449,0.11784950816448295,0.0017597127012000896,0.0018051048452987892
-5.8,-3.4294335334382877,0.15249495517583062,1.0131429779687104,0.11631287272384287,0.11784157024752977,0.0017705211608332711,0.0018173668381071164
-5.78,-3.4263642092739,0.15444114869619097,1.0134783438197457,0.11626681397451946,0.11783389806809444,0.0017809633986992123,0.0018292958127906422
-5.76,-3.423255739378982,0.15640955892314265,1.0138217490299175,0.11622013595311415,0.11782650150448098,0.0017910471315575637,0.001840900102444423
-5.74,-3.420107677579052,0.15840036982370004,1.0141733653090919,0.11617283062171802,0.11781939058911088,0.0018007799908398645,0.0018521879645422522
-5.72,-3.4169195740245977,0.16041376492259518,1.0145333671748806,0.11612488984388157,0.11781257550612527,0.0018101695154009903,0.001863167573596226
-5.7,-3.4136909752006304,0.16244992722975388,1.0149019319616381,0.11607630538351181,0.11780606658869523,0.001819223144954833,0.001873847014487489
