model,q_grid,i_min,i_max,i_points,uniform_rmse_leading_minus_current,stationary_rmse_leading_minus_current,uniform_mae_leading_minus_current,stationary_mae_leading_minus_current,max_abs_difference,max_side,max_q,max_i
toy,-5;0;10;15,-6.0,6.0,241,0.006485427418176869,0.009062488587724727,0.0038616162498170967,0.006743700674890307,0.020138552487031447,bid,15,-0.8999999999999995
fast_alpha,-5;0;10;15,-6.0,6.0,241,0.08561731586432168,0.10297373572441232,0.05791823030788843,0.07882373104670261,0.2805013602153179,bid,15,2.5
