model,paths,horizon,dt,pnl_difference,pnl_difference_se,pnl_ci95_low,pnl_ci95_high,ce_difference,ce_bootstrap_se,ce_ci95_low,ce_ci95_high,fills_difference,avg_abs_inventory_difference
toy,20000,10000.0,0.05,-5.968853789669409,0.08741867363554175,-6.140194389995071,-5.797513189343747,1.4927367196469277,0.8152160094329938,-0.1121609265061636,3.1425421941883425,-3.0692,-0.09733218225001977
fast-alpha,20000,10000.0,0.05,-139.70364492316767,0.5613609858527598,-140.80391245543908,-138.60337739089627,7.665396498422069,5.718777278518358,-3.484660223538492,18.46558500106651,-80.73955,-1.3090832112503041
