i,shift,dshift_di,risk_factor,r_current,r_leading_cara,s_current,s_leading_cara
-6.0,-0.8049068859464246,0.016997099364435237,1.0001643392852375,0.11674110029308579,0.11676028544206579,-0.002270715862999034,-0.0022714622599689727
-5.98,-0.8045646291194789,0.017229091053536472,1.0001688556196764,0.11670081309026345,0.11672051867837455,-0.0022691214138900874,-0.002269887786392704
-5.96,-0.8042177018706818,0.01746414779555091,1.0001734940461426,0.11665998181012045,0.11668022162238761,-0.0022675053261209544,-0.0022682921917206397
-5.94,-0.8038660425229424,0.017702307257505007,1.0001782577802,0.11661859934171233,0.11663938751436102,-0.0022658673079198,-0.0022666751968727036
-5.92,-0.8035095886419988,0.017943607489704045,1.0001831501185385,0.11657665848603065,0.11659800951485119,-0.002264207063467222,-0.002265036519001846
-5.9,-0.8031482770287374,0.01818808692730209,1.0001881744408683,0.1165341519550002,0.1165560807038864,-0.0022625242928336472,-0.0022633758714362827
-5.88,-0.8027820437114803,0.01843578439179919,1.000193334211857,0.11649107237046591,0.11651359408013102,-0.0022608186919155907,-0.0022616929636206434
-5.86,-0.8024108239382441,0.018686739092462996,1.0001986329831023,0.11644741226317024,0.1164705425600426,-0.0022590899523708304,-0.002259987501056036
-5.84,-0.8020345521689716,0.018940990627671392,1.0002040743951432,0.1164031640717202,0.1164269189770209,-0.0022573377615524165,-0.0022582591852389603
-5.82,-0.8016531620677357,0.019198578986172613,1.0002096621795131,0.1163583201415449,0.11638271608055026,-0.002255561802441565,-0.0022565077135991212
-5.8,-0.8012665864949212,0.019459544548260033,1.000215400160831,0.11631287272384287,0.1163379265353343,-0.0022537617535793816,-0.0022547327794360736
-5.78,-0.8008747574993826,0.019723928086857273,1.0002212922589324,0.11626681397451946,0.11629254292042276,-0.002251937288997419,-0.002252934071854695
-5.76,-0.800477606310581,0.01999177076851099,1.0002273424910424,0.11622013595311415,0.11624655772833101,-0.002250088078147056,-0.0022511112756994785
-5.74,-0.8000750633307027,0.02026311415428672,1.00023355497399,0.11617283062171802,0.11619996336415221,-0.0022482137858276913,-0.002249264071487636
-5.72,-0.7996670581267609,0.02053800020056478,1.000239933926462,0.11612488984388157,0.11615275214466178,-0.0022463140721137526,-0.0022473921353409884
-5.7,-0.7992535194226822,0.020816471259731843,1.0002464836713023,0.11607630538351181,0.11610491629741394,-0.002244388592280474,-0.0022454951389166166
-5.68,-0.7988343750913807,0.02109857008076456,1.0002532086378484,0.11602706890376023,0.11605644795983089,-0.002242436996728498,-0.002243572749336286
-5.66,-0.7984095521468206,0.02138433980970087,1.000260113364316,0.11597717196590067,0.11600733917828458,-0.0022404589309072474,-0.0022416246291146347
-5.64,-0.7979789767360719,0.021673823989995098,1.000267202500224,0.115926606028197,0.11595758190717022,-0.0022384540352370762,-0.0022396504360860763
-5.62,-0.7975425741313594,0.021967066562752387,1.0002744808088613,0.11587536244476185,0.11590716800797278,-0.00223642194503022,-0.0022376498233304645
-5.6,-0.797100268722108,0.022264111866838274,1.0002819531698008,0.11582343246440487,0.11585608924832543,-0.0022343622904105135,-0.0022356224390974603
-5.58,-0.796651984006988,0.02256500463885871,1.0002896245814543,0.11577080722947201,0.11580433730106048,-0.002232274696231905,-0.0022335679267296337
-5.56,-0.7961976425859612,0.022869790013006246,1.0002975001636734,0.11571747777467521,0.11575190374325305,-0.002230158781995755,-0.0022314859245842855
-5.54,-0.7957371661523318,0.02317851352076742,1.0003055851603935,0.11566343502591264,0.11569878005525669,-0.0022280141617669366,-0.002229376065953966
-5.52,-0.7952704754848055,0.023491221090486816,1.0003138849423225,0.11560866979907991,0.11564495761973179,-0.0022258404440887347,-0.002227237978985722
-5.5,-0.7947974904395565,0.02380795904678268,1.0003224050096764,0.11555317279887233,0.11559042772066669,-0.0022236372318965737,-0.0022250712865990573
-5.48,-0.7943181299423103,0.02412877410980922,1.0003311509949555,0.11549693461757815,0.11553518154239108,-0.002221404122430566,-0.002222875606402605
-5.46,-0.7938323119804414,0.02445371339436053,1.0003401286657698,0.11543994573386353,0.11547921016858252,-0.0022191407071469223,-0.002220650550609538
-5.4399999999999995,-0.7933399535950905,0.024782824408810723,1.000349343927707,0.11538219651154867,0.11542250458126546,-0.002216846571628219,-0.0022183957259517026
-5.42,-0.792840970873305,0.025116155053885026,1.0003588028272452,0.11532367719837629,0.11536505565980337,-0.0022145212954925737,-0.002216110733592504
-5.4,-0.7923352789402063,0.025453753621256608,1.0003685115547134,0.11526437792477212,0.11530685417988425,-0.0022121644523017407,-0.0022137951690385663
-5.38,-0.7918227919511853,0.02579566879196308,1.0003784764472932,0.11520428870259758,0.11524789081249867,-0.0022097756094681454,-0.002211448622050146
-5.36,-0.7913034230841337,0.0261419496346374,1.0003887039920683,0.11514339942389573,0.11518815612291211,-0.0022073543281609298,-0.0022090706765503774
-5.34,-0.7907770845317101,0.026492645603547336,1.0003992008291163,0.11508169985963002,0.11512764056963008,-0.002204900163211012,-0.002206660910533317
-5.32,-0.7902436874936499,0.026847806536437195,1.0004099737546477,0.11501917965841686,0.11506633450335792,-0.002202412663015225,-0.0022042188959708765
-5.3,-0.7897031421691179,0.027207482652166427,1.0004210297241871,0.11495582834525214,0.11500422816595404,-0.00219989136943958,-0.00220174419871862
-5.28,-0.7891553577491118,0.027571724548138127,1.0004323758557974,0.11489163532023207,0.11494131168937761,-0.0021973358177216997,-0.002199236378420495
-5.26,-0.7886002424089191,0.027940583197511963,1.0004440194333508,0.11482658985726946,0.11487757509463149,-0.0021947455363725034,-0.0021966949884125535
-5.24,-0.7880377033006315,0.028314109946194457,1.0004559679098406,0.11476068110280495,0.11481300829069928,-0.0021921200470771765,-0.002194119575625669
-5.22,-0.7874676465457212,0.028692356509600638,1.0004682289107345,0.11469389807451505,0.11474760107347837,-0.002189458864595534,-0.0021915096804873365
-5.2,-0.7868899772276868,0.029075374969179803,1.000480810237374,0.11462622966001643,0.11468134312470854,-0.002186761496661821,-0.0021888648368226095
-5.18,-0.7863045993847674,0.029463217768699368,1.0004937198704098,0.1145576646155682,0.11461422401089665,-0.0021840274438840682,-0.0021861845717542237
-5.16,-0.7857114160027371,0.029855937710279126,1.000506965973283,0.11448819156477194,0.11454623318223799,-0.0021812561996430607,-0.0021834684056019917
-5.14,-0.7851103290077786,0.0302535879501695,1.0005205568957432,0.11441779899727124,0.11447735997153502,-0.0021784472499910518,-0.0021807158517815495
-5.12,-0.7845012392594455,0.030656221994266254,1.000534501177406,0.114346475267451,0.11440759359311369,-0.0021756000735503127,-0.0021779264167025346
-5.1,-0.7838840465437168,0.031063893693354622,1.00054880755135,0.11427420859313726,0.11433692314173773,-0.002172714141411623,-0.0021750995996662687
-5.08,-0.7832586495661482,0.031476657238075315,1.0005634849477483,0.11420098705429933,0.11426533759152242,-0.0021697889170328587,-0.002172234892763086
-5.06,-0.7826249459451281,0.03189456715360502,1.000578542497539,0.11412679859175452,0.11419282579484794,-0.002166823856137786,-0.0021693317807693936
-5.04,-0.7819828322052431,0.03231767829404345,1.0005939895361293,0.11405163100587695,0.11411937648127293,-0.002163818406615212,-0.002166389741044572
-5.02,-0.7813322037707567,0.03274604583649976,1.000609835607131,0.1139754719553112,0.1140449782564491,-0.002160772008418632,-0.002163408243427843
-5.0,-0.7806729549592125,0.0331797252748696,1.0006260904661304,0.1138983089556932,0.11396961960103873,-0.0021576840934665856,-0.0021603867501352836
-4.98,-0.7800049789751623,0.033618772413295736,1.0006427640844897,0.11382012937837797,0.11389328886963437,-0.002154554085543824,-0.0021573247156570683
-4.96,-0.7793281679040294,0.034063243359303344,1.0006598666531727,0.1137409204491774,0.11381597428968299,-0.0021513814002035382,-0.0021542215866551338
