q,i,alpha_bar_frozen_i,ask_current,ask_leading_cara,bid_current,bid_leading_cara
-5,-6.0,-0.03599955761942865,-2.6133332025225067,-2.6095487651465543,3.6774353182545765,3.6744145473652376
-5,-5.98,-0.035999539565650496,-2.6105230699551054,-2.60663719000951,3.6746773481986548,3.6715762267073284
-5,-5.96,-0.035999520775093295,-2.6076861883756806,-2.6036964373285545,3.6718901674123074,3.668706771356127
-5,-5.94,-0.03599950121768932,-2.604822046365658,-2.600725944969874,3.6690733010698113,3.6658056661730387
-5,-5.92,-0.03599948086214384,-2.6019301288070245,-2.5977251462538598,3.6662262706818485,3.662872391685812
-5,-5.9,-0.03599945967588501,-2.599009917107086,-2.5946934701777478,3.6633485942456634,3.659906424236986
-5,-5.88,-0.0359994376250118,-2.5960608894098196,-2.5916303416255166,3.6604397863865685,3.656907236124221
-5,-5.86,-0.03599941467423973,-2.593082520794232,-2.588535181565479,3.657499358491117,3.6538742957328183
-5,-5.84,-0.035999390786844415,-2.5900742834601775,-2.585407407236048,3.654526818832241,3.6508070676607782
-5,-5.82,-0.03599936592460284,-2.5870356469020948,-2.582246432320185,3.651521672686683,3.6477050128367354
-5,-5.8,-0.03599934004773218,-2.583966078071174,-2.5790516671090487,3.6484834224450773,3.6445675886311646
-5,-5.78,-0.03599931311482614,-2.580865041526459,-2.575822518655408,3.64541156771503,3.641394248961223
-5,-5.76,-0.035999285082788754,-2.577731999575388,-2.5725583909173446,3.642305605417548,3.6381844443896227
-5,-5.74,-0.03599925590676541,-2.574566412404349,-2.5692586848928656,3.6391650298772222,3.6349376222179473
-5,-5.72,-0.035999225540071074,-2.5713677381997675,-2.56592279874597,3.6359893329065285,3.6316532265748283
-5,-5.7,-0.03599919393411564,-2.56813543326025,-2.5625501279247507,3.6327780038845954,3.628330698499351
-5,-5.68,-0.035999161038326156,-2.5648689521003694,-2.559140065272145,3.629530529830872,3.6249694760201514
-5,-5.66,-0.03599912680006597,-2.561567747546602,-2.5556920011298936,3.626246395474037,3.621568994230594
-5,-5.64,-0.03599909116455046,-2.5582312708259556,-2.552205323436275,3.622925083316519,3.618128685360423
-5,-5.62,-0.03599905407475944,-2.554858971647839,-2.548679417818244,3.6195660736950432,3.6146479788443373
-5,-5.6,-0.035999015471345916,-2.551450298279663,-2.545113667678471,3.6161688448375138,3.611126301387846
-5,-5.58,-0.03599897529254116,-2.5480046976167166,-2.5415074542779035,3.6127328729166415,3.607563077030843
-5,-5.56,-0.0359989334740559,-2.544521615246802,-2.537860156814368,3.6092576321006415,3.603957727209269
-5,-5.54,-0.035998889948977486,-2.541000495510115,-2.534171152497754,3.605742594601357,3.6003096708152507
-5,-5.52,-0.0359988446476628,-2.537440781554863,-2.530439816622322,3.602187230720143,3.596618324256104
-5,-5.5,-0.03599879749762694,-2.5338419153890777,-2.526665522636644,3.5985910088918547,3.5928831015125735
