q,i,ask_current,ask_leading_cara,bid_current,bid_leading_cara
-5,-6.0,-0.019553899625349938,-0.019512460819699012,1.0640791726647123,1.0640435944487017
-5,-5.98,-0.019298250128013388,-0.019255683076997543,1.0638113518115093,1.063774805692036
-5,-5.96,-0.019039098235110984,-0.01899537287963817,1.063539864717381,1.0635023249400435
-5,-5.94,-0.018776397399443055,-0.018731482907111525,1.063264662738515,1.0632261028877434
-5,-5.92,-0.01851010049742674,-0.018463965243778704,1.0629856966309206,1.06294608961401
-5,-5.9,-0.018240159823223065,-0.018192771372592675,1.0627029165443698,1.0626622345751693
-5,-5.88,-0.017966527082844845,-0.017917852168792422,1.0624162720163144,1.0623744865985694
-5,-5.86,-0.017689153388242895,-0.0176391578935695,1.0621257119657885,1.0620827938761255
-5,-5.84,-0.017407989251378632,-0.01735663818771429,1.0618311846872914,1.0617871039578446
-5,-5.82,-0.017122984578276934,-0.017070242065235178,1.0615326378446566,1.0614873637453295
-5,-5.8,-0.01683408866306655,-0.01677991790695829,1.061230018464906,1.06118351948526
-5,-5.78,-0.016541250182007604,-0.016485613454108893,1.060923272932095,1.0608755167628614
-5,-5.76,-0.016244417187506695,-0.01618727580187209,1.060612346981143,1.060563300495355
-5,-5.74,-0.015943537102124074,-0.0158848513929392,1.0602971856916594,1.0602468149253919
-5,-5.72,-0.015638556712571118,-0.015578286011038604,1.0599777334817577,1.059926003614479
-5,-5.7,-0.015329422163704517,-0.01526752477445515,1.0596539341018727,1.0596008094363938
-5,-5.68,-0.015016078952514875,-0.014952512129538707,1.0593257306285673,1.0592711745705874
-5,-5.66,-0.014698471922113023,-0.014633191844202635,1.0589930654583417,1.0589370404955862
-5,-5.64,-0.014376545255718437,-0.01430950700141858,1.0586558803014463,1.058598347982388
-5,-5.62,-0.01405024247064865,-0.01398139999270561,1.0583141161756933,1.0582550370878545
-5,-5.6,-0.013719506412313426,-0.013648812511617266,1.057967713400278,1.0579070471481073
-5,-5.58,-0.013384279248216467,-0.013311685547230445,1.0576166115896077,1.0575543167719272
-5,-5.56,-0.013044502461965923,-0.012969959377636259,1.0572607496471393,1.057196783834156
-5,-5.54,-0.012700116847296564,-0.012623573563437039,1.0569000657592327,1.0568343854691102
-5,-5.52,-0.012351062502107477,-0.012272466941252433,1.0565344973890183,1.0564670580640043
-5,-5.5,-0.011997278822514959,-0.011916577617234789,1.0561639812702828,1.0560947372523874
-5,-5.48,-0.01163870449692666,-0.011555842960600325,1.0557884534013775,1.0557173579075976
-5,-5.46,-0.011275277500137591,-0.011190199597176702,1.0554078490391494,1.0553348541362348
-5,-5.4399999999999995,-0.01090693508745226,-0.01081958340297054,1.0550221026929,1.0549471592716595
-5,-5.42,-0.01053361378883351,-0.010443929497757964,1.0546311481183737,1.054554205867512
-5,-5.4,-0.010155249403085327,-0.010063172238702157,1.0542349183117772,1.0541559256912663
-5,-5.38,-0.00977177699206818,-0.009677245214000492,1.0538333455038407,1.0537522497178136
-5,-5.36,-0.009383130874953849,-0.009286081236565456,1.0534263611539119,1.0533431081230842
-5,-5.34,-0.008989244622520584,-0.008889612337742013,1.0530138959440953,1.0529284302777053
-5,-5.32,-0.008590051051493797,-0.008487769761066598,1.052595879773441,1.0525081447407059
-5,-5.3,-0.008185482218934045,-0.0080804839560693,1.052172241752177,1.0520821792532677
-5,-5.28,-0.0077754694166787056,-0.007667684572126847,1.051742910196001,1.0516504607325279
-5,-5.26,-0.007359943165837088,-0.007249300452365562,1.0513078126204238,1.0512129152654333
-5,-5.24,-0.006938833211347681,-0.0068252596276237865,1.0508668757351791,1.05076946810266
-5,-5.22,-0.0065120685165963865,-0.006395489310472971,1.050420025438691,1.0503200436525901
-5,-5.2,-0.006079577258105227,-0.005959915889307235,1.049967186812619,1.0498645654753633
-5,-5.18,-0.005641286820289179,-0.005518464922499945,1.0495082841164678,1.049402956276992
-5,-5.16,-0.005197123790293287,-0.005071061132638818,1.0490432407822787,1.0489351379035627
-5,-5.14,-0.004747013952906214,-0.004617628400836703,1.0485719794094013,1.0484610313355112
-5,-5.12,-0.0042908822855609735,-0.004158089761130614,1.0480944217593497,1.0479805566819895
-5,-5.1,-0.003828652953424931,-0.0036923673949690802,1.04761048875075,1.0474936331753213
-5,-5.08,-0.0033602493045827297,-0.0032203826257943477,1.0471201004543826,1.0470001791655548
-5,-5.06,-0.0028855938653189195,-0.002742055913724742,1.046623176088322,1.0465001121151165
-5,-5.04,-0.0024046083355048625,-0.0022573068503445523,1.046119634013182,1.0459933485935728
-5,-5.02,-0.0019172135840928445,-0.001766054153603265,1.04560939172747,1.0454798042725035
-5,-5.0,-0.0014233296447254476,-0.001268215662833791,1.0450923658630538,1.0449593939204915
-5,-4.98,-0.000922875711463482,-0.0007637083338926029,1.0445684721807482,1.0444320313982391
-5,-4.96,-0.00041577013463783147,-0.00025244823442997083,1.0440376255660235,1.0438976296538105
-5,-4.9399999999999995,9.806958316885273e-05,0.00026564946070520984,1.043499740024846,1.04335610071801
-5,-4.92,0.0006187267910041094,0.0007906704739179676,1.0429547286796494,1.0428073556999025
-5,-4.9,0.0011462856932894921,0.001322701429173359,1.0424025037654479,1.0422513047824793
