alpha_center,count,ask_current,ask_leading_cara,bid_current,bid_leading_cara
-0.11624999999999999,0,nan,nan,nan,nan
-0.10874999999999999,0,nan,nan,nan,nan
-0.10125,0,nan,nan,nan,nan
-0.09375,5,-0.8609649816128122,-0.829799400525126,1.9066504077178805,1.88562671154468
-0.08625,90,-1.2141778230751528,-1.199874232742858,2.2727506422088637,2.270441604434788
-0.07874999999999999,755,-1.1281233967715478,-1.1060470915698954,2.1839608702528146,2.174115175475106
-0.07125000000000001,6068,-1.1042720142885307,-1.0752644533839095,2.1592979420057667,2.142767420280593
-0.06375,36133,-1.0772797619602483,-1.0502409705449869,2.1317760766714025,2.1170889125157055
-0.056249999999999994,164158,-1.038959686533026,-1.0105505321320671,2.092367062398746,2.0763314244475226
-0.048749999999999995,546499,-0.9816730396091995,-0.9518836086110579,2.0336792824846643,2.0162909702433955
-0.04125,1280009,-0.9006586684119616,-0.8694023128069942,1.9506493771692517,1.9317895914825063
-0.03375,2016101,-0.7787171420176268,-0.7459219647744155,1.825677915240293,1.8052279542586298
-0.026249999999999996,2107312,-0.5729474968660796,-0.5391249938617244,1.6149734871124704,1.5933347535729874
-0.018749999999999996,1605609,-0.24001773301609192,-0.20785353612257523,1.2746571007318672,1.2543783895386895
-0.011250000000000003,1189896,0.1293826218851318,0.15388355359772318,0.8985724183307483,0.8857236123249241
-0.0037500000000000033,1057501,0.3996221773455757,0.411973780675852,0.6258038520244734,0.6251185559114562
0.0037500000000000033,1056545,0.6257117943616407,0.6250844590423825,0.399719590491789,0.4120114629964661
0.01125000000000001,1188035,0.8989771584461187,0.8861859870953794,0.1289838961850569,0.1534256692995368
0.018750000000000003,1606087,1.2762382912700028,1.2559803840344834,-0.24157898516694812,-0.20943559503207518
0.026249999999999996,2105770,1.6145890149996895,1.5929797301472584,-0.5725723379996376,-0.5387791959807331
0.03375,2018950,1.8242546164178068,1.803824476214191,-0.7773120764173016,-0.7445339210651175
0.041249999999999995,1279281,1.9498145415334405,1.9309051008535791,-0.899826069856055,-0.8685127079566406
0.04874999999999999,547209,2.03267312441967,2.015280768811244,-0.9806702398513619,-0.9508720257435614
0.056249999999999994,165023,2.089149409872684,2.0728400360881665,-1.0357768379584338,-1.0070703626135729
0.06375,36045,2.1314652524373843,2.115928559689637,-1.0770731563758504,-1.0491901825066505
0.07125000000000001,6051,2.168641364023906,2.153802525829398,-1.1132828345113692,-1.086148727138675
0.07875,773,2.215239197372116,2.2053674650799495,-1.1583720120017436,-1.1364823526982943
0.08625,86,2.081771005552977,2.0706768749402564,-1.0266856027121756,-1.0027888424987355
0.09375,9,2.2421033322044996,2.2618691874692205,-1.1809073967033425,-1.188705843094684
0.10124999999999999,0,nan,nan,nan,nan
0.10874999999999999,0,nan,nan,nan,nan
0.11624999999999999,0,nan,nan,nan,nan
