time,Signal-blind Gaussian GLFT,I-aware RHJB,cubic-skew refined ansatz,I-aware galerkin ansatz
0.05,0,0,0,0
1.05,0.0001520505,0.000143998875,0.000149041125,0.0001447875
2.05,0.000594266625,0.000549410625,0.0005663115,0.000552648375
3.05,0.00134898975,0.001196735625,0.0012321045,0.001209594375
4.05,0.00244428075,0.0020784195,0.002134465875,0.002098659375
5.05,0.003917943,0.00317425725,0.003259108125,0.0032203485
6.05,0.005827793625,0.004470552,0.004606138125,0.004571771625
7.05,0.00822573225,0.005951311875,0.006164208,0.00613665675
8.05,0.01117823512,0.00760950225,0.007931768625,0.007918376625
9.05,0.01472198287,0.009451051875,0.0098978535,0.00990650925
10.05,0.01889623687,0.01148286375,0.01204743825,0.01209178687
11.05,0.02375844637,0.0136982295,0.01439445825,0.01445937187
12.05,0.0293369625,0.01609858687,0.01692970987,0.01702065262
13.05,0.0356621805,0.01867329562,0.0196647525,0.0197879355
14.05,0.0427877595,0.02143142887,0.02259382275,0.02274073762
15.05,0.0507588345,0.024342939,0.02572575187,0.02589221025
16.05,0.05963161613,0.0274221135,0.02903698125,0.02924032837
17.05,0.069420933,0.0306822375,0.03253987687,0.03279039187
18.05,0.08019716513,0.03411264262,0.03623152837,0.03652894575
19.05,0.09200603025,0.03770887387,0.040108725,0.04045965862
20.05,0.1048517674,0.04149160312,0.0441766485,0.0445788405
21.05,0.1187678959,0.04545295312,0.04844493675,0.04888684462
22.05,0.1337965076,0.04959730125,0.05290555612,0.05337327712
23.05,0.1499589979,0.0539084835,0.05756013563,0.05804605012
24.05,0.1672755413,0.0584074665,0.062415864,0.06291618975
25.05,0.1857519405,0.06309950287,0.067461777,0.06799057762
26.05,0.2053884071,0.06797081137,0.07268849775,0.07326696262
27.05,0.226244061,0.07302629137,0.07811631562,0.07873899975
28.05,0.2483294018,0.07825952137,0.08372452162,0.08439741225
29.05,0.2716256689,0.08367276825,0.089524053,0.09022901175
30.05,0.2962064272,0.08925821887,0.09549758362,0.09624247875
31.05,0.3220505651,0.09499080487,0.1016514889,0.1024184205
32.05,0.3491604484,0.1008736256,0.1079844176,0.1087587349
33.05,0.3775141102,0.1069166475,0.1144919745,0.1152633915
34.05,0.4071687097,0.1131356767,0.1211776672,0.1219550276
35.05,0.4381211002,0.1195014825,0.1280309355,0.128830914
36.05,0.4703519081,0.1260222041,0.1350689884,0.1358837224
37.05,0.5038733407,0.132690132,0.1423013209,0.143117532
38.05,0.5387613525,0.1395148894,0.1497074602,0.150507009
39.05,0.5749569281,0.1465055561,0.157285719,0.1580570066
40.05,0.6124589921,0.1536552056,0.1650467261,0.1657616636
41.05,0.6512139664,0.1609522481,0.1729860491,0.1736401185
42.05,0.6912801045,0.1684196797,0.1811073071,0.1816858946
43.05,0.7326926606,0.1760455226,0.1893976672,0.1899131231
44.05,0.7754306287,0.1838202345,0.19786041,0.1983147716
45.05,0.8195308155,0.1917690739,0.2064961924,0.2068607441
46.05,0.8649708154,0.1998872257,0.2153056477,0.2155618912
47.05,0.911781639,0.208158552,0.2242746866,0.2244106327
48.05,0.9599357565,0.2165991154,0.2334178159,0.2334302764
49.05,1.009391551,0.2252075164,0.2427473081,0.2426053624
50.05,1.060191398,0.233997102,0.252238203,0.2519234359
51.05,1.112275163,0.2429239849,0.2619026932,0.2613782059
52.05,1.165622174,0.2519917515,0.2717205019,0.2709842321
53.05,1.220294845,0.261216774,0.2817107235,0.2807470676
54.05,1.276237768,0.2705850236,0.2918705929,0.2906503807
55.05,1.333397045,0.280096515,0.3021750664,0.3007108519
56.05,1.391774373,0.2897809132,0.3126227636,0.3109364449
57.05,1.45145756,0.2996138779,0.3232305911,0.3213119632
58.05,1.512353377,0.309591495,0.333991458,0.3318198907
59.05,1.574431478,0.3197104931,0.3449030591,0.3424601801
60.05,1.63776089,0.3299452965,0.3559650502,0.3532474789
61.05,1.702267585,0.3403087234,0.367173126,0.3641895337
62.05,1.767986126,0.3508047427,0.3785071489,0.375267879
63.05,1.834916398,0.3614261816,0.3899876726,0.3864722085
64.05,1.903022626,0.3721841662,0.4015926619,0.3978221872
65.05,1.972308171,0.3830661405,0.4133324779,0.4093298764
66.05,2.042794945,0.3940793572,0.4252065379,0.4209896115
67.05,2.114458368,0.4052063464,0.4372041161,0.4327740428
68.05,2.187302042,0.4164839033,0.4493562784,0.4446625264
69.05,2.261309071,0.4278986629,0.4616314853,0.4566585353
70.05,2.336438547,0.4394363749,0.4740364901,0.468790596
71.05,2.412687534,0.4510953068,0.4865698463,0.4810469029
72.05,2.49009945,0.4628691506,0.4992243266,0.4934306374
73.05,2.568642632,0.4747678864,0.5120116538,0.5059255421
74.05,2.648314414,0.4867656716,0.5249493394,0.5185321549
75.05,2.729139326,0.4988810835,0.5380010618,0.5312318063
76.05,2.81103227,0.5110811798,0.5511706819,0.5440516121
77.05,2.894034143,0.5233799216,0.5644442903,0.5569835243
78.05,2.978058565,0.5357833695,0.5778333833,0.5700496916
79.05,3.063183436,0.5482889156,0.5913222379,0.5832507353
80.05,3.149430853,0.5609128545,0.6049147635,0.5965484839
81.05,3.236782629,0.57363318,0.6186248899,0.6099445485
82.05,3.325156712,0.5864367634,0.6324632359,0.623446956
83.05,3.414542736,0.5993343911,0.6464231618,0.6370277164
84.05,3.504922831,0.6123481335,0.6605074249,0.6507016211
85.05,3.596281244,0.6254609411,0.6746828535,0.664475436
86.05,3.688690778,0.6386859529,0.6889689866,0.6783506606
87.05,3.782123588,0.651997404,0.7033933913,0.6923340146
88.05,3.876510151,0.6653891621,0.7179062366,0.7064261033
89.05,3.971812688,0.67885416,0.732506715,0.7206007939
90.05,4.068034861,0.6924342296,0.7471937475,0.7348631006
91.05,4.165151961,0.7061087138,0.761970699,0.749225916
92.05,4.263186793,0.7198757921,0.7768421741,0.7636680281
93.05,4.362101521,0.7337355345,0.7918054751,0.7782247575
94.05,4.461935034,0.7476915724,0.8068666309,0.7928896298
95.05,4.562596582,0.7617477071,0.8220051596,0.8076251351
96.05,4.66412859,0.7758906334,0.8372179924,0.8224320724
97.05,4.7664462,0.7901151446,0.8525168944,0.8373324713
98.05,4.869588626,0.8044306538,0.8679094886,0.8523031455
99.05,4.973561389,0.8188174699,0.8833824596,0.8673355058
100.05,5.078416585,0.833267529,0.8989364666,0.8824548533
101.05,5.183986786,0.847774089,0.9145933774,0.8976676005
102.05,5.290270962,0.8623502055,0.9303238586,0.9129359048
103.05,5.397369322,0.8770043959,0.9461214945,0.9282861304
104.05,5.505184172,0.891737523,0.9619976183,0.9437051363
