abs_inventory,glft_blind,yaware_hjb
0,0.01872351765,0.05137541246
1,0.03703033697,0.1020743376
2,0.03683262674,0.1011487551
3,0.03667055294,0.0993309819
4,0.03645818418,0.09666191381
5,0.03622706729,0.0930430207
6,0.03596749325,0.08783362664
7,0.03570038996,0.08091846815
8,0.03535533447,0.07226452355
9,0.03501255374,0.06177366263
10,0.03463969603,0.05030084992
11,0.03418820618,0.03838672633
12,0.03366908309,0.02718824618
13,0.0331009899,0.01764387561
14,0.03250157484,0.01041020398
15,0.03185820418,0.005455434457
16,0.03104872013,0.002595305469
17,0.03029925507,0.001069973003
18,0.02940751925,0.0003733926607
19,0.02851123388,0.0001132486751
20,0.02756389861,3.03019698e-05
21,0.02653506149,6.604339566e-06
22,0.02542343266,1.00989901e-06
23,0.02428546145,1.249875012e-07
24,0.02307017798,0
25,0.02184917508,0
26,0.02053770123,0
27,0.01923447655,0
28,0.01790684932,0
29,0.01659821518,0
30,0.01519229577,0
31,0.01386181882,0
32,0.01253246175,0
33,0.01126052895,0
34,0.009985556444,0
35,0.008770272973,0
36,0.007637086291,0
37,0.006599590041,0
38,0.005603964604,0
39,0.004689516048,0
40,0.003895345465,0
41,0.003185286471,0
42,0.002583211679,0
43,0.002037571243,0
44,0.001603564644,0
45,0.001207314269,0
46,0.0009096840316,0
47,0.0006904959504,0
48,0.000498960104,0
49,0.0003634386561,0
50,0.0002436506349,0
51,0.0001624687531,0
52,0.0001038046195,0
53,6.690330967e-05,0
54,4.715528447e-05,0
55,2.677232277e-05,0
56,1.537346265e-05,0
57,9.699030097e-06,0
58,5.254474553e-06,0
59,2.124787521e-06,0
60,1.839816018e-06,0
