gamma,q,spread
0.001,-30,1.009039515
0.001,-29,1.00905753
0.001,-28,1.009075171
0.001,-27,1.009092401
0.001,-26,1.009109191
0.001,-25,1.009125512
0.001,-24,1.00914134
0.001,-23,1.009156652
0.001,-22,1.009171429
0.001,-21,1.009185651
0.001,-20,1.009199304
0.001,-19,1.009212372
0.001,-18,1.00922484
0.001,-17,1.009236698
0.001,-16,1.009247933
0.001,-15,1.009258535
0.001,-14,1.009268494
0.001,-13,1.009277802
0.001,-12,1.00928645
0.001,-11,1.009294432
0.001,-10,1.009301741
0.001,-9,1.009308372
0.001,-8,1.009314318
0.001,-7,1.009319575
0.001,-6,1.009324139
0.001,-5,1.009328007
0.001,-4,1.009331176
0.001,-3,1.009333643
0.001,-2,1.009335406
0.001,-1,1.009336465
0.001,0,1.009336818
0.001,1,1.009336465
0.001,2,1.009335406
0.001,3,1.009333643
0.001,4,1.009331176
0.001,5,1.009328007
0.001,6,1.009324139
0.001,7,1.009319575
0.001,8,1.009314318
0.001,9,1.009308372
0.001,10,1.009301741
0.001,11,1.009294432
0.001,12,1.00928645
0.001,13,1.009277802
0.001,14,1.009268494
0.001,15,1.009258535
0.001,16,1.009247933
0.001,17,1.009236698
0.001,18,1.00922484
0.001,19,1.009212372
0.001,20,1.009199304
0.001,21,1.009185651
0.001,22,1.009171429
0.001,23,1.009156652
0.001,24,1.00914134
0.001,25,1.009125512
0.001,26,1.009109191
0.001,27,1.009092401
0.001,28,1.009075171
0.001,29,1.00905753
0.001,30,1.009039515
0.01763333333,-30,1.020265803
0.01763333333,-29,1.020798293
0.01763333333,-28,1.021347468
0.01763333333,-27,1.021913438
0.01763333333,-26,1.022496196
0.01763333333,-25,1.023095589
0.01763333333,-24,1.023711294
0.01763333333,-23,1.024342777
0.01763333333,-22,1.02498926
0.01763333333,-21,1.025649679
0.01763333333,-20,1.026322639
0.01763333333,-19,1.027006371
0.01763333333,-18,1.027698684
0.01763333333,-17,1.028396928
0.01763333333,-16,1.029097949
0.01763333333,-15,1.029798074
0.01763333333,-14,1.030493085
0.01763333333,-13,1.031178235
0.01763333333,-12,1.03184827
0.01763333333,-11,1.032497484
0.01763333333,-10,1.033119802
0.01763333333,-9,1.033708888
0.01763333333,-8,1.034258282
0.01763333333,-7,1.034761553
0.01763333333,-6,1.035212473
0.01763333333,-5,1.035605189
0.01763333333,-4,1.035934397
0.01763333333,-3,1.036195509
0.01763333333,-2,1.036384791
0.01763333333,-1,1.036499489
0.01763333333,0,1.036537911
0.01763333333,1,1.036499489
0.01763333333,2,1.036384791
0.01763333333,3,1.036195509
0.01763333333,4,1.035934397
0.01763333333,5,1.035605189
0.01763333333,6,1.035212473
0.01763333333,7,1.034761553
0.01763333333,8,1.034258282
0.01763333333,9,1.033708888
0.01763333333,10,1.033119802
0.01763333333,11,1.032497484
0.01763333333,12,1.03184827
0.01763333333,13,1.031178235
0.01763333333,14,1.030493085
0.01763333333,15,1.029798074
0.01763333333,16,1.029097949
0.01763333333,17,1.028396928
0.01763333333,18,1.027698684
0.01763333333,19,1.027006371
0.01763333333,20,1.026322639
0.01763333333,21,1.025649679
0.01763333333,22,1.02498926
0.01763333333,23,1.024342777
0.01763333333,24,1.023711294
0.01763333333,25,1.023095589
0.01763333333,26,1.022496196
0.01763333333,27,1.021913438
0.01763333333,28,1.021347468
0.01763333333,29,1.020798293
0.01763333333,30,1.020265803
0.03426666667,-30,1.018614559
0.03426666667,-29,1.01930804
0.03426666667,-28,1.020032945
0.03426666667,-27,1.020790911
0.03426666667,-26,1.021583605
0.03426666667,-25,1.022412703
0.03426666667,-24,1.023279854
0.03426666667,-23,1.024186645
0.03426666667,-22,1.025134545
0.03426666667,-21,1.026124835
0.03426666667,-20,1.027158515
0.03426666667,-19,1.028236194
0.03426666667,-18,1.029357937
0.03426666667,-17,1.030523092
0.03426666667,-16,1.031730067
0.03426666667,-15,1.032976067
0.03426666667,-14,1.034256795
0.03426666667,-13,1.035566113
0.03426666667,-12,1.036895679
0.03426666667,-11,1.038234602
0.03426666667,-10,1.039569137
0.03426666667,-9,1.040882505
0.03426666667,-8,1.042154895
0.03426666667,-7,1.043363744
0.03426666667,-6,1.044484353
0.03426666667,-5,1.04549087
0.03426666667,-4,1.0463576
0.03426666667,-3,1.047060526
0.03426666667,-2,1.047578895
0.03426666667,-1,1.047896683
0.03426666667,0,1.048003766
0.03426666667,1,1.047896683
0.03426666667,2,1.047578895
0.03426666667,3,1.047060526
0.03426666667,4,1.0463576
0.03426666667,5,1.04549087
0.03426666667,6,1.044484353
0.03426666667,7,1.043363744
0.03426666667,8,1.042154895
0.03426666667,9,1.040882505
0.03426666667,10,1.039569137
0.03426666667,11,1.038234602
0.03426666667,12,1.036895679
0.03426666667,13,1.035566113
0.03426666667,14,1.034256795
0.03426666667,15,1.032976067
0.03426666667,16,1.031730067
0.03426666667,17,1.030523092
0.03426666667,18,1.029357937
0.03426666667,19,1.028236194
0.03426666667,20,1.027158515
0.03426666667,21,1.026124835
0.03426666667,22,1.025134545
0.03426666667,23,1.024186645
0.03426666667,24,1.023279854
0.03426666667,25,1.022412703
0.03426666667,26,1.021583605
0.03426666667,27,1.020790911
0.03426666667,28,1.020032945
0.03426666667,29,1.01930804
0.03426666667,30,1.018614559
0.0509,-30,1.015785182
0.0509,-29,1.016561699
0.0509,-28,1.017378004
0.0509,-27,1.018236781
0.0509,-26,1.019140892
0.0509,-25,1.020093371
0.0509,-24,1.021097419
0.0509,-23,1.022156388
0.0509,-22,1.023273747
0.0509,-21,1.02445304
0.0509,-20,1.025697816
0.0509,-19,1.02701152
0.0509,-18,1.028397358
0.0509,-17,1.029858086
0.0509,-16,1.031395743
0.0509,-15,1.033011276
0.0509,-14,1.034704058
0.0509,-13,1.036471259
0.0509,-12,1.038307059
0.0509,-11,1.040201692
0.0509,-10,1.042140342
0.0509,-9,1.04410195
0.0509,-8,1.046058094
0.0509,-7,1.047972172
0.0509,-6,1.049799251
0.0509,-5,1.051487029
0.0509,-4,1.052978267
0.0509,-3,1.054214826
0.0509,-2,1.05514294
0.0509,-1,1.055718919
0.0509,0,1.055914221
0.0509,1,1.055718919
0.0509,2,1.05514294
0.0509,3,1.054214826
0.0509,4,1.052978267
0.0509,5,1.051487029
0.0509,6,1.049799251
