gamma,q,spread
0.001,-30,2.244397561
0.001,-29,2.244475301
0.001,-28,2.244551152
0.001,-27,2.244625047
0.001,-26,2.24469692
0.001,-25,2.244766708
0.001,-24,2.244834347
0.001,-23,2.244899774
0.001,-22,2.244962927
0.001,-21,2.245023747
0.001,-20,2.245082174
0.001,-19,2.245138151
0.001,-18,2.245191621
0.001,-17,2.245242532
0.001,-16,2.245290831
0.001,-15,2.245336469
0.001,-14,2.245379397
0.001,-13,2.245419571
0.001,-12,2.245456948
0.001,-11,2.245491488
0.001,-10,2.245523153
0.001,-9,2.24555191
0.001,-8,2.245577726
0.001,-7,2.245600573
0.001,-6,2.245620425
0.001,-5,2.245637261
0.001,-4,2.245651062
0.001,-3,2.245661812
0.001,-2,2.2456695
0.001,-1,2.245674116
0.001,0,2.245675655
0.001,1,2.245674116
0.001,2,2.2456695
0.001,3,2.245661812
0.001,4,2.245651062
0.001,5,2.245637261
0.001,6,2.245620425
0.001,7,2.245600573
0.001,8,2.245577726
0.001,9,2.24555191
0.001,10,2.245523153
0.001,11,2.245491488
0.001,12,2.245456948
0.001,13,2.245419571
0.001,14,2.245379397
0.001,15,2.245336469
0.001,16,2.245290831
0.001,17,2.245242532
0.001,18,2.245191621
0.001,19,2.245138151
0.001,20,2.245082174
0.001,21,2.245023747
0.001,22,2.244962927
0.001,23,2.244899774
0.001,24,2.244834347
0.001,25,2.244766708
0.001,26,2.24469692
0.001,27,2.244625047
0.001,28,2.244551152
0.001,29,2.244475301
0.001,30,2.244397561
0.01763333333,-30,2.260850351
0.01763333333,-29,2.262216133
0.01763333333,-28,2.263628967
0.01763333333,-27,2.265089812
0.01763333333,-26,2.266599413
0.01763333333,-25,2.268158241
0.01763333333,-24,2.269766424
0.01763333333,-23,2.271423655
0.01763333333,-22,2.273129102
0.01763333333,-21,2.27488129
0.01763333333,-20,2.276677972
0.01763333333,-19,2.278515987
0.01763333333,-18,2.280391101
0.01763333333,-17,2.282297832
0.01763333333,-16,2.284229275
0.01763333333,-15,2.286176921
0.01763333333,-14,2.288130486
0.01763333333,-13,2.290077762
0.01763333333,-12,2.292004511
0.01763333333,-11,2.293894422
0.01763333333,-10,2.29572915
0.01763333333,-9,2.297488474
0.01763333333,-8,2.29915059
0.01763333333,-7,2.300692561
0.01763333333,-6,2.302090938
0.01763333333,-5,2.30332253
0.01763333333,-4,2.30436531
0.01763333333,-3,2.305199397
0.01763333333,-2,2.305808044
0.01763333333,-1,2.30617854
0.01763333333,0,2.306302939
0.01763333333,1,2.30617854
0.01763333333,2,2.305808044
0.01763333333,3,2.305199397
0.01763333333,4,2.30436531
0.01763333333,5,2.30332253
0.01763333333,6,2.302090938
0.01763333333,7,2.300692561
0.01763333333,8,2.29915059
0.01763333333,9,2.297488474
0.01763333333,10,2.29572915
0.01763333333,11,2.293894422
0.01763333333,12,2.292004511
0.01763333333,13,2.290077762
0.01763333333,14,2.288130486
0.01763333333,15,2.286176921
0.01763333333,16,2.284229275
0.01763333333,17,2.282297832
0.01763333333,18,2.280391101
0.01763333333,19,2.278515987
0.01763333333,20,2.276677972
0.01763333333,21,2.27488129
0.01763333333,22,2.273129102
0.01763333333,23,2.271423655
0.01763333333,24,2.269766424
0.01763333333,25,2.268158241
0.01763333333,26,2.266599413
0.01763333333,27,2.265089812
0.01763333333,28,2.263628967
0.01763333333,29,2.262216133
0.01763333333,30,2.260850351
0.03426666667,-30,2.246541399
0.03426666667,-29,2.248325861
0.03426666667,-28,2.250197123
0.03426666667,-27,2.252160357
0.03426666667,-26,2.254220948
0.03426666667,-25,2.256384464
0.03426666667,-24,2.258656601
0.03426666667,-23,2.261043096
0.03426666667,-22,2.263549621
0.03426666667,-21,2.266181624
0.03426666667,-20,2.268944121
0.03426666667,-19,2.271841415
0.03426666667,-18,2.274876735
0.03426666667,-17,2.278051757
0.03426666667,-16,2.28136601
0.03426666667,-15,2.28481612
0.03426666667,-14,2.288394889
0.03426666667,-13,2.292090189
0.03426666667,-12,2.295883677
0.03426666667,-11,2.299749374
0.03426666667,-10,2.303652185
0.03426666667,-9,2.307546496
0.03426666667,-8,2.311375117
