pnl_center,GLFT, fair environment,GLFT, imbalanced I-environment
-88.86646585,0,0
-27.47323139,0,0
33.92000307,0,0
95.31323752,0,0.0001
156.706472,0,0
218.0997064,0,0.0001
279.4929409,0,0.0002
340.8861754,0,0.00025
402.2794098,0,0.0002
463.6726443,0,0.0002
525.0658787,0,0.00015
586.4591132,0,0.00025
647.8523476,0,0.00055
709.2455821,0,0.0006
770.6388166,0,0.0007
832.032051,0,0.0014
893.4252855,0,0.0014
954.8185199,0,0.0018
1016.211754,0,0.0024
1077.604989,0,0.0031
1138.998223,0,0.0034
1200.391458,0,0.0048
1261.784692,0,0.00635
1323.177927,0,0.00695
1384.571161,0,0.0082
1445.964396,0,0.0096
1507.35763,0,0.0126
1568.750865,0,0.0138
1630.144099,0,0.0163
1691.537333,0,0.01985
1752.930568,0,0.0215
1814.323802,0,0.0257
1875.717037,0,0.0267
1937.110271,0,0.03205
1998.503506,0,0.0318
2059.89674,0,0.03485
2121.289975,0,0.0372
2182.683209,0,0.03865
2244.076444,0,0.0411
2305.469678,0,0.04175
2366.862912,0,0.04495
2428.256147,0,0.0431
2489.649381,0,0.0418
2551.042616,0,0.04395
2612.43585,0,0.03885
2673.829085,0,0.03825
2735.222319,0,0.03655
2796.615554,0,0.03425
2858.008788,0.00015,0.03195
2919.402023,0.0009,0.0284
2980.795257,0.00465,0.02635
3042.188492,0.02125,0.02165
3103.581726,0.0673,0.0202
3164.97496,0.141,0.0183
3226.368195,0.2177,0.0171
3287.761429,0.23545,0.01235
3349.154664,0.1784,0.0108
3410.547898,0.08945,0.00945
3471.941133,0.03215,0.0073
3533.334367,0.00965,0.0065
3594.727602,0.00155,0.0046
3656.120836,0.00025,0.00485
3717.514071,0.00015,0.00285
3778.907305,0,0.00225
3840.300539,0,0.00155
3901.693774,0,0.00125
3963.087008,0,0.00115
4024.480243,0,0.0006
4085.873477,0,0.00055
4147.266712,0,0.0004
4208.659946,0,0.00055
4270.053181,0,0.00025
4331.446415,0,0.00025
4392.83965,0,0.0002
4454.232884,0,5e-05
4515.626118,0,5e-05
4577.019353,0,0
4638.412587,0,0
4699.805822,0,0
