metric,left_mean,right_mean,paired_difference_mean,paired_difference_se,paired_ci95_low,paired_ci95_high,paired_correlation,unpaired_difference_se
terminal_pnl,2116.1775115491155,2110.1658358202553,-6.0116757288600855,0.2733529189133978,-6.547447449930345,-5.475904007789826,0.998480564411091,6.851211376507767
penalized_pnl,1910.4419354763356,1910.9254264574847,0.4834909811490627,0.2756075585139101,-0.05669983353820113,1.0236817958363265,0.998578075420129,7.118819417092605
spread_capture,2104.7325923705157,2098.683162551532,-6.049429818983455,0.10931481568799949,-6.263686857731934,-5.835172780234976,0.9985483159795144,2.867300166879214
alpha_carry,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
price_martingale,11.44491917859985,11.482673268723094,0.037754090123246244,0.2499976960193366,-0.45224139407465347,0.527749574321146,0.9985117598477019,6.251525254486434
running_penalty,205.73557607278,199.24040936277083,-6.495166710009151,0.048842755438246184,-6.590898510668114,-6.399434909350188,0.9964712066913075,0.7729415786895817
terminal_penalty,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
fills,3551.9325,3548.636,-3.2965,0.17246497023447685,-3.6345313416595744,-2.9584686583404256,0.9990046316744543,5.4655455645373605
avg_abs_inventory,5.686240792502824,5.588745220002841,-0.09749557249998236,0.0006492378974494565,-0.0987680787789833,-0.09622306622098142,0.9971829399370792,0.011888642465982955
avg_q2,45.719016905000416,44.27564652500018,-1.443370380000238,0.010853945652937536,-1.4646441134799955,-1.4220966465204805,0.9964712066913025,0.17176479526410002
terminal_inventory,-0.0185,-0.013,0.0055,0.008530607283793762,-0.011219990276235775,0.022219990276235772,0.9985324306314193,0.21370617571743192
