metric,left_mean,right_mean,paired_difference_mean,paired_difference_se,paired_ci95_low,paired_ci95_high,paired_correlation,unpaired_difference_se
terminal_pnl,2552.295772673381,2413.496358510806,-138.7994141625751,1.7740056142008405,-142.27646516640874,-135.32236315874144,0.9854852362782669,9.233645278888273
penalized_pnl,2200.2250716066374,2171.670723210467,-28.55434839617069,1.625885554168549,-31.741084082341043,-25.367612710000333,0.9863261328128352,8.88040344690997
spread_capture,520.3794428697809,658.5320980028753,138.1526551330944,0.4517369027055654,137.2672508037915,139.0380594623973,0.9776279730451906,2.72635358204167
alpha_carry,2028.6063192453678,1751.8791839334353,-276.72713531193233,0.9486798709385719,-278.5865478589719,-274.86772276489273,0.9851422167115679,4.679964201479412
price_martingale,3.3100105582327473,3.08507657449554,-0.22493398373720733,1.2785831671330834,-2.7309569913180507,2.281089023843636,0.9898086751104771,7.74654007005099
running_penalty,351.28478606674366,241.29037530033924,-109.9944107664044,0.28458121000085623,-110.55218993800608,-109.43663159480272,0.9726613255193056,0.836056086277374
terminal_penalty,0.7859149999999999,0.53526,-0.25065499999999996,0.006272203022294196,-0.26294851792369656,-0.23836148207630334,0.9581146380416463,0.019078077316767333
fills,3808.4425,3728.153,-80.2895,0.4246416196365634,-81.12179757448767,-79.45720242551234,0.9952198307158134,6.075643329171542
avg_abs_inventory,7.720575475000703,6.411571605002077,-1.3090038699986248,0.002646827055350088,-1.314191651027111,-1.3038160889701387,0.9760815312508143,0.011301603495950071
avg_q2,78.06328579249978,53.62008340000156,-24.44320239249823,0.06324026888899453,-24.56715331952066,-24.319251465475798,0.9726613255192967,0.18579024139471187
terminal_inventory,-0.1295,-0.085,0.0445,0.04377462717136487,-0.04129826925587515,0.13029826925587515,0.9889556524393761,0.25705990016168523
