y,q,ask_hjb,bid_hjb,ask_sc,bid_sc,ask_gal,bid_gal
0,-30,1.321627598,-0.3019532113,1.294838435,-0.2712290086,1.294838435,-0.2712290086
0,-29,1.299461514,-0.2794261946,1.268737311,-0.2451278846,1.268737311,-0.2451278846
0,-28,1.276934497,-0.256534708,1.242636187,-0.2190267605,1.242636187,-0.2190267605
0,-27,1.25404301,-0.2332758832,1.216535063,-0.1929256365,1.216535063,-0.1929256365
0,-26,1.230784185,-0.2096476078,1.190433939,-0.1668245124,1.190433939,-0.1668245124
0,-25,1.20715591,-0.1856486149,1.164332815,-0.1407233883,1.164332815,-0.1407233883
0,-24,1.183156917,-0.1612785729,1.138231691,-0.1146222643,1.138231691,-0.1146222643
0,-23,1.158786875,-0.1365381753,1.112130566,-0.08852114022,1.112130566,-0.08852114022
0,-22,1.134046478,-0.1114292271,1.086029442,-0.06242001616,1.086029442,-0.06242001616
0,-21,1.108937529,-0.08595472668,1.059928318,-0.0363188921,1.059928318,-0.0363188921
0,-20,1.083463029,-0.06011894017,1.033827194,-0.01021776804,1.033827194,-0.01021776804
0,-19,1.057627242,-0.03392746697,1.00772607,0.01588335602,1.00772607,0.01588335602
0,-18,1.031435769,-0.0073872931,0.9816249462,0.04198448007,0.9816249462,0.04198448007
0,-17,1.004895595,0.01949316875,0.9555238221,0.06808560413,0.9555238221,0.06808560413
0,-16,0.9780151335,0.04670405447,0.9294226981,0.09418672819,0.9294226981,0.09418672819
0,-15,0.9508042477,0.07423404007,0.903321574,0.1202878523,0.903321574,0.1202878523
0,-14,0.9232742621,0.1020703503,0.87722045,0.1463889763,0.87722045,0.1463889763
0,-13,0.8954379519,0.1301987841,0.8511193259,0.1724901004,0.8511193259,0.1724901004
0,-12,0.8673095181,0.1586037566,0.8250182018,0.1985912244,0.8250182018,0.1985912244
0,-11,0.8389045456,0.1872683568,0.7989170778,0.2246923485,0.7989170778,0.2246923485
0,-10,0.8102399454,0.216174418,0.7728159537,0.2507934725,0.7728159537,0.2507934725
0,-9,0.7813338842,0.245302602,0.7467148297,0.2768945966,0.7467148297,0.2768945966
0,-8,0.7522057003,0.2746324913,0.7206137056,0.3029957207,0.7206137056,0.3029957207
0,-7,0.7228758109,0.3041426911,0.6945125815,0.3290968447,0.6945125815,0.3290968447
0,-6,0.6933656112,0.333810936,0.6684114575,0.3551979688,0.6684114575,0.3551979688
0,-5,0.6636973662,0.3636142018,0.6423103334,0.3812990928,0.6423103334,0.3812990928
0,-4,0.6338941004,0.3935288201,0.6162092094,0.4074002169,0.6162092094,0.4074002169
0,-3,0.6039794821,0.4235305939,0.5901080853,0.433501341,0.5901080853,0.433501341
0,-2,0.5739777083,0.4535949155,0.5640069613,0.459602465,0.5640069613,0.459602465
0,-1,0.5439133867,0.4836968832,0.5379058372,0.4857035891,0.5379058372,0.4857035891
0,0,0.5138114191,0.5138114191,0.5118047131,0.5118047131,0.5118047131,0.5118047131
0,1,0.4836968832,0.5439133867,0.4857035891,0.5379058372,0.4857035891,0.5379058372
0,2,0.4535949155,0.5739777083,0.459602465,0.5640069613,0.459602465,0.5640069613
0,3,0.4235305939,0.6039794821,0.433501341,0.5901080853,0.433501341,0.5901080853
0,4,0.3935288201,0.6338941004,0.4074002169,0.6162092094,0.4074002169,0.6162092094
0,5,0.3636142018,0.6636973662,0.3812990928,0.6423103334,0.3812990928,0.6423103334
0,6,0.333810936,0.6933656112,0.3551979688,0.6684114575,0.3551979688,0.6684114575
0,7,0.3041426911,0.7228758109,0.3290968447,0.6945125815,0.3290968447,0.6945125815
0,8,0.2746324913,0.7522057003,0.3029957207,0.7206137056,0.3029957207,0.7206137056
0,9,0.245302602,0.7813338842,0.2768945966,0.7467148297,0.2768945966,0.7467148297
0,10,0.216174418,0.8102399454,0.2507934725,0.7728159537,0.2507934725,0.7728159537
0,11,0.1872683568,0.8389045456,0.2246923485,0.7989170778,0.2246923485,0.7989170778
0,12,0.1586037566,0.8673095181,0.1985912244,0.8250182018,0.1985912244,0.8250182018
0,13,0.1301987841,0.8954379519,0.1724901004,0.8511193259,0.1724901004,0.8511193259
0,14,0.1020703503,0.9232742621,0.1463889763,0.87722045,0.1463889763,0.87722045
0,15,0.07423404007,0.9508042477,0.1202878523,0.903321574,0.1202878523,0.903321574
0,16,0.04670405447,0.9780151335,0.09418672819,0.9294226981,0.09418672819,0.9294226981
0,17,0.01949316875,1.004895595,0.06808560413,0.9555238221,0.06808560413,0.9555238221
