y,q,ask_hjb,bid_hjb,ask_sc,bid_sc,ask_gal,bid_gal
-1.36,-5,-0.4744725173,1.508643167,-0.4984663887,1.533309087,-0.497773292,1.528096134
-1.32,-5,-0.4442726779,1.47813206,-0.4714405969,1.505787862,-0.4663581188,1.496374784
-1.28,-5,-0.4138084923,1.447363201,-0.4443509858,1.478208584,-0.4347766096,1.464493819
-1.24,-5,-0.3830799605,1.416336589,-0.417169484,1.450543685,-0.4030325297,1.432456856
-1.2,-5,-0.3523514286,1.385309976,-0.3898653641,1.422762928,-0.3711296256,1.400267514
-1.16,-5,-0.3210896953,1.353764119,-0.3624053803,1.39483355,-0.3390716219,1.367929405
-1.12,-5,-0.289827962,1.322218262,-0.3347539554,1.366720441,-0.3068622181,1.335446137
-1.08,-5,-0.2582990797,1.290412635,-0.3068734213,1.338386388,-0.2745050854,1.302821307
-1.04,-5,-0.2265030484,1.258347238,-0.2787243152,1.30979237,-0.2420038639,1.270058501
-1,-5,-0.1947070172,1.226281841,-0.2502657354,1.280897911,-0.2093621602,1.23716129
-0.96,-5,-0.1623799485,1.193700993,-0.2214557585,1.251661497,-0.1765835455,1.204133232
-0.92,-5,-0.1300528798,1.161120144,-0.1922519184,1.222041056,-0.1436715544,1.170977864
-0.88,-5,-0.09746459939,1.1282863,-0.162611746,1.191994495,-0.1106296839,1.137698708
-0.84,-5,-0.06461510719,1.095199459,-0.1324933681,1.161480296,-0.07746139391,1.104299265
-0.8,-5,-0.03176561499,1.062112618,-0.1018561605,1.130458176,-0.04417010787,1.070783019
-0.76,-5,0.001591344886,1.028535591,-0.0706614476,1.098889778,-0.01075921511,1.037153439
-0.72,-5,0.03494830476,0.9949585637,-0.03887324055,1.066739414,0.0227679263,1.003413977
-0.68,-5,0.06854789985,0.9611479594,-0.006459000416,1.033974829,0.05640798537,0.9695680746
-0.64,-5,0.1023901302,0.9271037782,0.02660958787,1.000567973,0.09015765289,0.9356191649
-0.6,-5,0.1362323605,0.8930595971,0.06035584858,0.9664957709,0.124013635,0.9015706782
-0.56,-5,0.1705297142,0.8585792097,0.09479737543,0.9317408664,0.1579726458,0.8674260473
-0.52,-5,0.204827068,0.8240988224,0.1299453411,0.8962923138,0.1920313985,0.8331887141
-0.48,-5,0.2393327332,0.7894199524,0.165803879,0.8601462012,0.2261865961,0.7988621364
-0.44,-5,0.2740467098,0.7545425997,0.2023695626,0.8233061762,0.260434921,0.7644497965
-0.4,-5,0.3087606864,0.719665247,0.2396310034,0.7857838534,0.2947730242,0.7299552087
-0.36,-5,0.3438444428,0.6844384247,0.2775685918,0.7475990796,0.3291975138,0.6953819287
-0.32,-5,0.3789281993,0.6492116024,0.3161543984,0.7087800385,0.3637049434,0.6607335623
-0.28,-5,0.4141695092,0.6138376506,0.3553522502,0.6693631796,0.398291801,0.6260137736
-0.24,-5,0.4495683727,0.5783165694,0.3951179922,0.6293929606,0.4329544979,0.5912262942
-0.2,-5,0.4849672362,0.5427954881,0.4353999372,0.5889214002,0.4676893584,0.5563749304
-0.16,-5,0.5206197587,0.5070419933,0.4761395,0.5480074428,0.5024926106,0.5214635702
-0.12,-5,0.5562722812,0.4712884985,0.5172720065,0.5067161456,0.5373603785,0.4864961899
-0.08,-5,0.5920183072,0.4354522413,0.5587276608,0.4651177048,0.5722886756,0.4514768578
-0.04,-5,0.6278578367,0.3995332215,0.6004326464,0.423286344,0.6072734004,0.4164097383
0,-5,0.6636973662,0.3636142018,0.6423103334,0.3812990928,0.6423103334,0.3812990928
0.04,-5,0.699654037,0.3275995849,0.68428256,0.3392344912,0.6773951373,0.3461492804
0.08,-5,0.7356107078,0.2915849679,0.7262709517,0.2971712526,0.712523358,0.3109647551
0.12,-5,0.7715905321,0.2555579106,0.7681982421,0.2551869278,0.7476904284,0.275750063
0.16,-5,0.8075935101,0.2195184129,0.8099895589,0.2133566039,0.7828916748,0.2405098366
0.2,-5,0.843596488,0.1834789152,0.8515736384,0.1717516783,0.8181223241,0.2052487879
0.24,-5,0.8795762673,0.14748375,0.8928839368,0.1304387378,0.853377514,0.1699717001
0.28,-5,0.9155560466,0.1114885847,0.93385961,0.0894785752,0.8886523038,0.1346834174
0.32,-5,0.951491206,0.07554837902,0.974446337,0.0489253638,0.9239416873,0.09938883483
0.36,-5,0.9873817457,0.03966313288,1.014596972,0.008826008881,0.9592406064,0.06409288607
0.4,-5,1.023272285,0.003777886733,1.05427201,-0.03078031502,0.9945439653,0.02880053119
0.44,-5,1.059012806,-0.03193725587,1.093439873,-0.06986243767,1.029846646,-0.006483256048
0.48,-5,1.094753327,-0.06765239847,1.132077002,-0.1083972813,1.065143521,-0.04175350111
0.52,-5,1.130391746,-0.1032557519,1.170167781,-0.1463697735,1.100429473,-0.07700524152
0.56,-5,1.165928064,-0.1387473161,1.207704303,-0.1837725994,1.135699405,-0.1122335394
0.6,-5,1.201464381,-0.1742388803,1.244685985,-0.2206058126,1.170948255,-0.1474334936
0.64,-5,1.236749725,-0.2094608902,1.281119072,-0.2568763271,1.206171013,-0.1826002512
0.68,-5,1.272035069,-0.2446829,1.31701604,-0.2925973122,1.241362728,-0.2177290182
0.72,-5,1.307175406,-0.2797510379,1.352394925,-0.3277875161,1.276518525,-0.2528150697
0.76,-5,1.342170735,-0.3146653037,1.387278606,-0.3624705398,1.311633611,-0.2878537589
0.8,-5,1.377166065,-0.3495795695,1.421694054,-0.396674085,1.346703286,-0.3228405249
0.84,-5,1.41183995,-0.3841555415,1.455671582,-0.4304291942,1.381722954,-0.3577709006
0.88,-5,1.446513835,-0.4187315134,1.489244093,-0.4637695015,1.416688124,-0.3926405185
0.92,-5,1.481014859,-0.4531266412,1.522446365,-0.4967305087,1.451594423,-0.4274451167
0.96,-5,1.515343022,-0.4873409249,1.555314365,-0.5293488991,1.486437597,-0.4621805427
1,-5,1.549671184,-0.5215552086,1.587884613,-0.5616618975,1.521213514,-0.496842758
1.04,-5,1.583635801,-0.5553908499,1.620193594,-0.5937066847,1.555918173,-0.5314278407
1.08,-5,1.617600417,-0.5892264912,1.652277236,-0.6255198691,1.590547701,-0.5659319882
1.12,-5,1.65137716,-0.6228671308,1.684170447,-0.6571370203,1.625098356,-0.6003515188
1.16,-5,1.684966031,-0.6563127687,1.715906702,-0.6885922635,1.659566532,-0.6346828732
1.2,-5,1.718554902,-0.6897584065,1.74751771,-0.7199179343,1.693948754,-0.668922615
1.24,-5,1.751760568,-0.7228073773,1.779033121,-0.7511442933,1.728241682,-0.7030674318
1.28,-5,1.784966233,-0.755856348,1.810480306,-0.7822992967,1.762442112,-0.7371141345
1.32,-5,1.8179785,-0.7887055619,1.841884171,-0.813408419,1.79654697,-0.7710596577
1.36,-5,1.850797368,-0.8213550189,1.87326704,-0.8444945253,1.830553316,-0.8049010589
1.4,-5,1.883616236,-0.8540044759,1.904648567,-0.8755777881,1.864458345,-0.8386355184
1.44,-5,1.91604776,-0.8862545667,1.936045694,-0.9066756446,1.898259378,-0.8722603381
1.48,-5,1.948479285,-0.9185046574,1.967472646,-0.93780279,1.931953868,-0.9057729407
1.52,-5,1.980718021,-0.9505562667,1.99894096,-0.9689712026,1.965539396,-0.939170869
1.56,-5,2.012763968,-0.9824093944,2.030459532,-1.000190197,1.99901367,-0.9724517848
1.6,-5,2.044809916,-1.014262522,2.062034699,-1.031466503,2.032374524,-1.005613468
1.64,-5,2.076473718,-1.045722702,2.093670333,-1.06280436,2.065619914,-1.038653815
1.68,-5,2.108137521,-1.077182883,2.125367958,-1.094205633,2.098747921,-1.071570838
1.72,-5,2.139612527,-1.108449131,2.157126878,-1.125669941,2.131756746,-1.104362666
1.76,-5,2.170898737,-1.139521448,2.188944311,-1.157194795,2.16464471,-1.137027538
1.8,-5,2.202184948,-1.170593764,2.22081554,-1.188775748,2.197410253,-1.16956381
1.84,-5,2.233098782,-1.201283916,2.252734065,-1.220406545,2.230051933,-1.201969946
1.88,-5,2.264012617,-1.231974068,2.284691755,-1.252079278,2.262568422,-1.234244525
1.92,-5,2.294743018,-1.262476113,2.31667901,-1.283784553,2.294958509,-1.266386231
1.96,-5,2.325289987,-1.292790049,2.348684918,-1.315511639,2.327221095,-1.298393862
2,-5,2.355836956,-1.323103985,2.380697408,-1.347248629,2.359355195,-1.330266321
2.04,-5,2.386022564,-1.35304761,2.412703406,-1.378982599,2.391359933,-1.36200262
2.08,-5,2.416208173,-1.382991234,2.444688986,-1.410699751,2.423234547,-1.393601876
2.12,-5,2.446215734,-1.412752519,2.476639509,-1.442385563,2.454978381,-1.425063314
2.16,-5,2.476045248,-1.442331464,2.50853977,-1.474024928,2.48659089,-1.456386261
2.2,-5,2.505874763,-1.471910409,2.540374124,-1.505602289,2.518071632,-1.487570151
2.24,-5,2.535353027,-1.501129854,2.572126613,-1.537101763,2.549420277,-1.51861452
2.28,-5,2.564831292,-1.5303493,2.603781088,-1.568507262,2.580636597,-1.549519008
2.32,-5,2.594136072,-1.559391291,2.635321315,-1.599802604,2.611720467,-1.580283356
2.36,-5,2.623267368,-1.58825583,2.666731081,-1.630971616,2.64267187,-1.610907406
2.4,-5,2.652398664,-1.617120368,2.697994284,-1.661998229,2.673490887,-1.641391103
2.44,-5,2.681186601,-1.645633904,2.729095027,-1.692866567,2.704177703,-1.671734488
2.48,-5,2.709974538,-1.674147439,2.76001769,-1.723561026,2.734732603,-1.701937705
2.52,-5,2.738592224,-1.702487039,2.790747002,-1.754066341,2.765155971,-1.732000995
2.56,-5,2.767039657,-1.730652705,2.821268107,-1.784367656,2.79544829,-1.761924697
2.6,-5,2.795487091,-1.758818372,2.851566615,-1.814450572,2.825610142,-1.791709245
2.64,-5,2.823596055,-1.786638474,2.881628652,-1.844301204,2.855642202,-1.821355173
2.68,-5,2.85170502,-1.814458576,2.911440901,-1.873906213,2.885545244,-1.850863107
2.72,-5,2.87964533,-1.842106609,2.940990635,-1.903252849,2.915320134,-1.880233771
2.76,-5,2.907416985,-1.869582574,2.970265748,-1.932328975,2.944967832,-1.90946798
2.8,-5,2.93518864,-1.897058538,2.999254772,-1.961123088,2.97448939,-1.938566644
2.84,-5,2.962623222,-1.924190868,3.027946899,-1.98962434,3.003885949,-1.967530763
2.88,-5,2.990057804,-1.951323197,3.056331988,-2.017822547,3.033158742,-1.996361432
2.92,-5,3.017323482,-1.978283479,3.084400576,-2.045708198,3.062309088,-2.025059831
2.96,-5,3.044420258,-2.005071712,3.112143875,-2.073272455,3.091338393,-2.053627236
3,-5,3.071517033,-2.031859945,3.139553778,-2.100507156,3.120248147,-2.082065005
3.04,-5,3.098274249,-2.058302609,3.166622847,-2.127404804,3.149039925,-2.110374587
3.08,-5,3.125031464,-2.084745274,3.193344308,-2.153958568,3.177715381,-2.138557517
3.12,-5,3.151617486,-2.111013887,3.219712043,-2.180162264,3.206276252,-2.166615414
3.16,-5,3.178032312,-2.137108449,3.245720572,-2.206010348,3.234724349,-2.194549981
3.2,-5,3.204447139,-2.16320301,3.27136504,-2.231497898,3.263061562,-2.222363004
3.24,-5,3.230515604,-2.18894581,3.296641201,-2.256620599,3.291289854,-2.25005635
3.28,-5,3.256584069,-2.21468861,3.321545399,-2.281374722,3.319411258,-2.277631967
3.32,-5,3.282476754,-2.2402531,3.346074548,-2.30575711,3.347427875,-2.305091878
3.36,-5,3.308193661,-2.265639278,3.370226109,-2.329765151,3.375341877,-2.332438187
3.4,-5,3.333910567,-2.291025456,3.393998075,-2.35339676,3.403155493,-2.359673069
3.44,-5,3.359269394,-2.316048855,3.417388943,-2.376650359,3.430871019,-2.386798776
3.48,-5,3.384628221,-2.341072254,3.440397694,-2.399524852,3.458490803,-2.413817628
3.52,-5,3.409804025,-2.36591048,3.463023773,-2.422019604,3.48601725,-2.440732017
3.56,-5,3.434796805,-2.390563531,3.485267061,-2.444134419,3.513452816,-2.467544402
3.6,-5,3.459789585,-2.415216583,3.507127859,-2.465869517,3.540800003,-2.494257304
3.64,-5,3.484406758,-2.439490161,3.528606861,-2.487225511,3.568061353,-2.520873311
3.68,-5,3.509023931,-2.463763739,3.549705136,-2.508203389,3.595239451,-2.547395067
3.72,-5,3.533447632,-2.487842153,3.570424104,-2.52880449,3.622336913,-2.573825275
3.76,-5,3.557677862,-2.511725402,3.590765515,-2.549030481,3.649356384,-2.600166694
3.8,-5,3.581908092,-2.535608651,3.610731431,-2.568883341,3.676300531,-2.626422131
3.84,-5,3.605738051,-2.559088775,3.630324205,-2.58836534,3.703172041,-2.652594442
3.88,-5,3.62956801,-2.582568899,3.64954646,-2.607479017,3.729973612,-2.678686528
3.92,-5,3.653190042,-2.605839962,3.668401075,-2.626227166,3.756707946,-2.70470133
3.96,-5,3.676604147,-2.628901966,3.686891162,-2.644612814,3.783377745,-2.730641823
4,-5,3.700018253,-2.65196397,3.705020052,-2.662639206,3.809985699,-2.756511017
4.04,-5,3.722998353,-2.674590358,3.722791279,-2.680309789,3.836534482,-2.782311947
4.08,-5,3.745978453,-2.697216745,3.74020856,-2.697628195,3.863026744,-2.808047672
4.12,-5,3.768731002,-2.719615141,3.757275787,-2.714598224,3.889465096,-2.833721264
4.16,-5,3.791256001,-2.741785545,3.773997008,-2.731223836,3.915852109,-2.859335809
4.2,-5,3.813780999,-2.763955949,3.790376412,-2.74750913,3.942190294,-2.884894397
4.24,-5,3.835826403,-2.785646695,3.806418321,-2.763458335,3.9684821,-2.910400114
4.28,-5,3.857871807,-2.80733744,3.822127174,-2.779075798,3.994729896,-2.935856039
4.32,-5,3.879663203,-2.828774603,3.837507518,-2.79436597,4.020935959,-2.961265233
4.36,-5,3.90120059,-2.849958183,3.852563994,-2.809333395,4.047102464,-2.986630732
4.4,-5,3.922737978,-2.871141763,3.867301329,-2.823982704,4.073231465,-3.011955537
4.44,-5,3.94373436,-2.891786215,3.881724328,-2.838318598,4.099324882,-3.037242609
4.48,-5,3.964730742,-2.912430667,3.895837861,-2.852345846,4.125384485,-3.062494854
4.52,-5,3.985437462,-2.932786975,3.909646856,-2.86606927,4.151411875,-3.087715112
4.56,-5,4.005854519,-2.95285514,3.923156292,-2.879493741,4.177408466,-3.112906151
4.6,-5,4.026271577,-2.972923304,3.936371193,-2.892624171,4.203375464,-3.13807065
4.64,-5,4.046064762,-2.992371939,3.949296617,-2.905465504,4.229313847,-3.163211189
4.68,-5,4.065857946,-3.011820574,3.961937653,-2.91802271,4.255224344,-3.188330233
4.72,-5,4.085313265,-3.030934255,3.974299414,-2.930300781,4.281107406,-3.213430116
4.76,-5,4.104430718,-3.049712982,3.986387032,-2.942304722,4.306963186,-3.238513031
4.8,-5,4.123548171,-3.06849171,3.998205652,-2.954039548,4.332791509,-3.263581007
4.84,-5,4.14192944,-3.086541759,4.009760428,-2.965510278,4.358591843,-3.288635896
4.88,-5,4.160310709,-3.104591809,4.02105652,-2.976721931,4.384363271,-3.31367935
4.92,-5,4.178288597,-3.122243188,4.03209909,-2.987679523,4.410104456,-3.338712806
4.96,-5,4.195863105,-3.139495898,4.042893295,-2.998388061,4.43581361,-3.363737458
5,-5,4.213437613,-3.156748607,4.053444291,-3.00885254,4.461488454,-3.388754243
5.04,-5,4.230122828,-3.173123631,4.063757221,-3.019077943,4.487126186,-3.413763811
5.08,-5,4.246808042,-3.189498654,4.073837223,-3.029069232,4.512723436,-3.438766501
5.12,-5,4.263000271,-3.20538775,4.083689417,-3.038831354,4.538276224,-3.463762318
5.16,-5,4.278699514,-3.220790917,4.093318914,-3.048369229,4.563779919,-3.4887509
5.2,-5,4.294398757,-3.236194085,4.102730804,-3.057687756,4.58922919,-3.513731494
5.24,-5,4.308998584,-3.250514832,4.111930162,-3.066791808,4.61461796,-3.538702922
5.28,-5,4.323598411,-3.264835579,4.120922045,-3.075686228,4.639939352,-3.56366355
5.32,-5,4.337581852,-3.278550097,4.129711486,-3.084375832,4.665185636,-3.588611255
5.36,-5,4.350948906,-3.291658388,4.1383035,-3.092865404,4.690348176,-3.613543388
5.4,-5,4.364315961,-3.304766679,4.146703079,-3.101159699,4.715417372,-3.63845674
5.44,-5,4.376293191,-3.316509303,4.154915191,-3.109263435,4.740382597,-3.663347501
5.48,-5,4.388270421,-3.328251927,4.162944781,-3.117181299,4.765232139,-3.688211225
5.52,-5,4.399460092,-3.339221298,4.170796768,-3.124917943,4.789953135,-3.713042785
5.56,-5,4.409862204,-3.349417416,4.178476045,-3.13247798,4.814531507,-3.737836333
5.6,-5,4.420264315,-3.359613534,4.185987479,-3.139865989,4.838951891,-3.76258526
5.64,-5,4.428872284,-3.368049306,4.193335906,-3.147086508,4.863197575,-3.787282147
5.68,-5,4.437480252,-3.376485078,4.200526133,-3.154144038,4.887250424,-3.811918725
5.72,-5,4.445061448,-3.383914002,4.207562935,-3.161043035,4.911090813,-3.836485827
5.76,-5,4.451615872,-3.390336079,4.21445105,-3.167787915,4.934697553,-3.860973347
5.8,-5,4.458170296,-3.396758156,4.22119518,-3.174383047,4.958047826,-3.885370192
5.84,-5,4.462363178,-3.400865646,4.227799988,-3.180832755,4.981117113,-3.909664239
5.88,-5,4.46655606,-3.404973137,4.23427009,-3.18714131,5.003879129,-3.933842291
5.92,-5,4.469384886,-3.407744242,4.240610053,-3.193312932,5.026305757,-3.95789004
5.96,-5,4.470849657,-3.409178963,4.246824391,-3.199351783,5.048366986,-3.981792024
6,-5,4.472314427,-3.410613683,4.252917556,-3.205261967,5.070030859,-4.005531592
-6,0,-3.065891438,4.135525438,-2.929855743,3.985734596,-3.176823939,4.405907483
-5.96,0,-3.064609389,4.134212566,-2.924433201,3.980271494,-3.167007102,4.390065939
-5.92,0,-3.063327339,4.132899694,-2.918870306,3.974666938,-3.156959009,4.374172712
-5.88,0,-3.06084992,4.13036293,-2.913163746,3.968917584,-3.146681829,4.358224595
-5.84,0,-3.057177132,4.126602274,-2.907310147,3.963020031,-3.136177623,4.342218416
-5.8,0,-3.053504343,4.122841618,-2.901306077,3.956970816,-3.125448347,4.326151043
-5.76,0,-3.047757557,4.116958142,-2.895148046,3.950766417,-3.11449585,4.310019383
-5.72,0,-3.042010771,4.111074665,-2.888832506,3.944403253,-3.103321882,4.293820378
-5.68,0,-3.035359886,4.104266156,-2.882355848,3.937877684,-3.091928095,4.277551009
-5.64,0,-3.027804903,4.096532616,-2.875714408,3.931186013,-3.080316041,4.261208295
-5.6,0,-3.02024992,4.088799076,-2.868904464,3.924324482,-3.068487182,4.244789291
-5.56,0,-3.011110229,4.079444877,-2.861922237,3.917289278,-3.056442886,4.22829109
-5.52,0,-3.001970539,4.070090678,-2.854763892,3.910076529,-3.044184437,4.211710823
-5.48,0,-2.99213264,4.060022823,-2.847425539,3.902682309,-3.031713028,4.195045654
-5.44,0,-2.981596532,4.049241312,-2.839903234,3.895102634,-3.019029773,4.178292789
-5.4,0,-2.971060425,4.038459801,-2.832192977,3.887333468,-3.006135706,4.161449466
-5.36,0,-2.959286793,4.02641421,-2.824290719,3.879370721,-2.993031782,4.144512962
-5.32,0,-2.947513162,4.014368619,-2.816192359,3.871210251,-2.979718882,4.12748059
-5.28,0,-2.935187913,4.001760002,-2.807893746,3.862847866,-2.966197816,4.110349697
-5.24,0,-2.922311046,3.98858836,-2.799390681,3.854279324,-2.952469325,4.093117669
-5.2,0,-2.909434179,3.975416718,-2.790678921,3.845500338,-2.938534083,4.075781926
-5.16,0,-2.895567738,3.961235922,-2.781754177,3.836506575,-2.9243927,4.058339924
-5.12,0,-2.881701296,3.947055126,-2.772612118,3.827293658,-2.910045724,4.040789155
-5.08,0,-2.867388234,3.932419327,-2.763248376,3.817857172,-2.895493648,4.023127146
-5.04,0,-2.852628551,3.917328524,-2.753658544,3.808192661,-2.880736904,4.00535146
-5,0,-2.837868868,3.902237721,-2.74383818,3.798295637,-2.865775874,3.987459693
-4.96,0,-2.822297699,3.886321124,-2.733782815,3.788161578,-2.850610888,3.969449481
-4.92,0,-2.806726529,3.870404526,-2.72348795,3.777785934,-2.835242227,3.95131849
-4.88,0,-2.790784349,3.854110843,-2.712949061,3.767164129,-2.819670126,3.933064424
-4.84,0,-2.774471157,3.837440074,-2.702161607,3.756291567,-2.803894777,3.914685022
-4.8,0,-2.758157966,3.820769305,-2.691121028,3.745163636,-2.787916328,3.896178057
-4.76,0,-2.741161841,3.803405356,-2.679822756,3.733775708,-2.771734892,3.877541338
-4.72,0,-2.724165715,3.786041407,-2.668262213,3.72212315,-2.755350542,3.85877271
-4.68,0,-2.706853277,3.768356866,-2.656434823,3.710201327,-2.738763316,3.839870051
-4.64,0,-2.689224525,3.750351732,-2.644336012,3.698005604,-2.721973222,3.820831276
-4.6,0,-2.671595774,3.732346599,-2.631961218,3.685531357,-2.704980235,3.801654335
-4.56,0,-2.653377263,3.713744653,-2.619305893,3.672773978,-2.687784306,3.782337215
