solve_ymax,toy_uniform,fast_alpha_uniform,regime_uniform,toy_statwt,fast_alpha_statwt,regime_statwt_joint
6,0.0515,0.0965,0.1028,0.0306,0.0485,0.0860
9,0.0657,0.1687,0.1643,0.0322,0.0580,0.0915
