case,variant,abs_rmse_exact,target_rms_exact,rel_rmse_exact,sigma_i,solve_ymax,ny,q_grid,eval_mass_exact,stationary_residual,solve_tau,solve_steps,last_depth_diff,converged
baseline,current,0.09049781462445207,1.770453379878317,0.05111561572475406,2.0238577025077626,7.08,143,-5 0 11 15,0.9962127403347769,5.238089226835187e-17,1140.0,4560.0,1.861585019469203e-08,1
baseline,asinh_reference,0.13207017116489822,1.770453379878317,0.0745968081768837,2.0238577025077626,7.08,143,-5 0 11 15,0.9962127403347769,5.238089226835187e-17,1140.0,4560.0,1.861585019469203e-08,1
baseline,A_X_r_standard_cubic,0.1296458779151589,1.770453379878317,0.07322750171714176,2.0238577025077626,7.08,143,-5 0 11 15,0.9962127403347769,5.238089226835187e-17,1140.0,4560.0,1.861585019469203e-08,1
baseline,B_raw_r_geometric_cubic,0.1216908416718572,1.770453379878317,0.0687342818822041,2.0238577025077626,7.08,143,-5 0 11 15,0.9962127403347769,5.238089226835187e-17,1140.0,4560.0,1.861585019469203e-08,1
baseline,C_X_r_geometric_cubic,0.12194902622610646,1.770453379878317,0.0688801115082104,2.0238577025077626,7.08,143,-5 0 11 15,0.9962127403347769,5.238089226835187e-17,1140.0,4560.0,1.861585019469203e-08,1
baseline,D_compressed_shift_raw_r,0.7672020205281768,1.770453379878317,0.4333364714641096,2.0238577025077626,7.08,143,-5 0 11 15,0.9962127403347769,5.238089226835187e-17,1140.0,4560.0,1.861585019469203e-08,1
baseline,E_compressed_shift_X_r,0.7702411985289305,1.770453379878317,0.43505308147784666,2.0238577025077626,7.08,143,-5 0 11 15,0.9962127403347769,5.238089226835187e-17,1140.0,4560.0,1.861585019469203e-08,1
baseline,F_compressed_alpha_X_r,0.23663043372809717,1.770453379878317,0.13365527520660314,2.0238577025077626,7.08,143,-5 0 11 15,0.9962127403347769,5.238089226835187e-17,1140.0,4560.0,1.861585019469203e-08,1
eta_0.64,current,2.085031418400562,2.3243206813847666,0.8970498068959906,4.047715405015525,14.17,285,-5 0 11 15,0.9974158149976595,7.041695469193819e-17,1450.0,5800.0,1.9670125084303436e-08,1
eta_0.64,asinh_reference,0.9187838869684279,2.3243206813847666,0.39529136161239237,4.047715405015525,14.17,285,-5 0 11 15,0.9974158149976595,7.041695469193819e-17,1450.0,5800.0,1.9670125084303436e-08,1
eta_0.64,A_X_r_standard_cubic,0.9939661070003869,2.3243206813847666,0.4276372511594266,4.047715405015525,14.17,285,-5 0 11 15,0.9974158149976595,7.041695469193819e-17,1450.0,5800.0,1.9670125084303436e-08,1
eta_0.64,B_raw_r_geometric_cubic,1.032406972964889,2.3243206813847666,0.44417578918146927,4.047715405015525,14.17,285,-5 0 11 15,0.9974158149976595,7.041695469193819e-17,1450.0,5800.0,1.9670125084303436e-08,1
eta_0.64,C_X_r_geometric_cubic,1.04988392895487,2.3243206813847666,0.45169495645040597,4.047715405015525,14.17,285,-5 0 11 15,0.9974158149976595,7.041695469193819e-17,1450.0,5800.0,1.9670125084303436e-08,1
eta_0.64,D_compressed_shift_raw_r,0.9221507385863705,2.3243206813847666,0.3967398930671556,4.047715405015525,14.17,285,-5 0 11 15,0.9974158149976595,7.041695469193819e-17,1450.0,5800.0,1.9670125084303436e-08,1
eta_0.64,E_compressed_shift_X_r,0.9934921930572755,2.3243206813847666,0.42743335763177914,4.047715405015525,14.17,285,-5 0 11 15,0.9974158149976595,7.041695469193819e-17,1450.0,5800.0,1.9670125084303436e-08,1
eta_0.64,F_compressed_alpha_X_r,0.7989568818368882,2.3243206813847666,0.343737801859979,4.047715405015525,14.17,285,-5 0 11 15,0.9974158149976595,7.041695469193819e-17,1450.0,5800.0,1.9670125084303436e-08,1
corner_eta0.64_zstar2.5,current,2.19910537321651,2.4894809821513695,0.8833589768241886,4.047715405015525,14.17,285,-5 0 11 15,0.9963950508394648,7.972537417961428e-17,1560.0,6240.0,1.8764694686979055e-08,1
corner_eta0.64_zstar2.5,asinh_reference,0.9723263935346798,2.4894809821513695,0.390573939108549,4.047715405015525,14.17,285,-5 0 11 15,0.9963950508394648,7.972537417961428e-17,1560.0,6240.0,1.8764694686979055e-08,1
corner_eta0.64_zstar2.5,A_X_r_standard_cubic,1.0506678868924186,2.4894809821513695,0.4220429456683169,4.047715405015525,14.17,285,-5 0 11 15,0.9963950508394648,7.972537417961428e-17,1560.0,6240.0,1.8764694686979055e-08,1
corner_eta0.64_zstar2.5,B_raw_r_geometric_cubic,1.0905519353073632,2.4894809821513695,0.43806397523267104,4.047715405015525,14.17,285,-5 0 11 15,0.9963950508394648,7.972537417961428e-17,1560.0,6240.0,1.8764694686979055e-08,1
corner_eta0.64_zstar2.5,C_X_r_geometric_cubic,1.108164375147949,2.4894809821513695,0.44513871891091583,4.047715405015525,14.17,285,-5 0 11 15,0.9963950508394648,7.972537417961428e-17,1560.0,6240.0,1.8764694686979055e-08,1
corner_eta0.64_zstar2.5,D_compressed_shift_raw_r,0.9647789371722761,2.4894809821513695,0.3875422001972996,4.047715405015525,14.17,285,-5 0 11 15,0.9963950508394648,7.972537417961428e-17,1560.0,6240.0,1.8764694686979055e-08,1
corner_eta0.64_zstar2.5,E_compressed_shift_X_r,1.0365007811691378,2.4894809821513695,0.4163521587834788,4.047715405015525,14.17,285,-5 0 11 15,0.9963950508394648,7.972537417961428e-17,1560.0,6240.0,1.8764694686979055e-08,1
corner_eta0.64_zstar2.5,F_compressed_alpha_X_r,0.8514577327933066,2.4894809821513695,0.3420221881178986,4.047715405015525,14.17,285,-5 0 11 15,0.9963950508394648,7.972537417961428e-17,1560.0,6240.0,1.8764694686979055e-08,1
corner_zeta0.125_barlambda1.8,current,1.419666445811841,2.7750733120817164,0.511577996743762,2.0238577025077626,7.08,143,-6 0 12 18,0.9962127403347769,4.659214861924122e-17,270.0,1080.0,1.8531665091359173e-08,1
corner_zeta0.125_barlambda1.8,asinh_reference,1.187992132229029,2.7750733120817164,0.4280939631601512,2.0238577025077626,7.08,143,-6 0 12 18,0.9962127403347769,4.659214861924122e-17,270.0,1080.0,1.8531665091359173e-08,1
corner_zeta0.125_barlambda1.8,A_X_r_standard_cubic,1.1848207738370335,2.7750733120817164,0.426951161498592,2.0238577025077626,7.08,143,-6 0 12 18,0.9962127403347769,4.659214861924122e-17,270.0,1080.0,1.8531665091359173e-08,1
corner_zeta0.125_barlambda1.8,B_raw_r_geometric_cubic,1.2039729827703574,2.7750733120817164,0.4338526760819876,2.0238577025077626,7.08,143,-6 0 12 18,0.9962127403347769,4.659214861924122e-17,270.0,1080.0,1.8531665091359173e-08,1
corner_zeta0.125_barlambda1.8,C_X_r_geometric_cubic,1.1974810628939736,2.7750733120817164,0.43151330729914494,2.0238577025077626,7.08,143,-6 0 12 18,0.9962127403347769,4.659214861924122e-17,270.0,1080.0,1.8531665091359173e-08,1
corner_zeta0.125_barlambda1.8,D_compressed_shift_raw_r,1.6074852338332333,2.7750733120817164,0.5792586548379801,2.0238577025077626,7.08,143,-6 0 12 18,0.9962127403347769,4.659214861924122e-17,270.0,1080.0,1.8531665091359173e-08,1
corner_zeta0.125_barlambda1.8,E_compressed_shift_X_r,1.6020791100448584,2.7750733120817164,0.577310553587884,2.0238577025077626,7.08,143,-6 0 12 18,0.9962127403347769,4.659214861924122e-17,270.0,1080.0,1.8531665091359173e-08,1
corner_zeta0.125_barlambda1.8,F_compressed_alpha_X_r,0.9127100846048483,2.7750733120817164,0.32889584596962607,2.0238577025077626,7.08,143,-6 0 12 18,0.9962127403347769,4.659214861924122e-17,270.0,1080.0,1.8531665091359173e-08,1
corner_betaHalf_zstar2.5,current,1.1679682968871279,2.7896667260957355,0.41867664189469406,2.862167011199731,10.02,203,-5 0 11 15,0.9957681099587782,2.911609338439413e-17,2085.0,8340.0,1.955643824658182e-08,1
corner_betaHalf_zstar2.5,asinh_reference,0.37766513302989896,2.7896667260957355,0.1353800185151358,2.862167011199731,10.02,203,-5 0 11 15,0.9957681099587782,2.911609338439413e-17,2085.0,8340.0,1.955643824658182e-08,1
corner_betaHalf_zstar2.5,A_X_r_standard_cubic,0.3705359835817113,2.7896667260957355,0.13282446254800234,2.862167011199731,10.02,203,-5 0 11 15,0.9957681099587782,2.911609338439413e-17,2085.0,8340.0,1.955643824658182e-08,1
corner_betaHalf_zstar2.5,B_raw_r_geometric_cubic,0.4400564404059033,2.7896667260957355,0.15774516586136514,2.862167011199731,10.02,203,-5 0 11 15,0.9957681099587782,2.911609338439413e-17,2085.0,8340.0,1.955643824658182e-08,1
corner_betaHalf_zstar2.5,C_X_r_geometric_cubic,0.4150172932506523,2.7896667260957355,0.14876948897458003,2.862167011199731,10.02,203,-5 0 11 15,0.9957681099587782,2.911609338439413e-17,2085.0,8340.0,1.955643824658182e-08,1
corner_betaHalf_zstar2.5,D_compressed_shift_raw_r,1.5115035960236236,2.7896667260957355,0.5418222836026872,2.862167011199731,10.02,203,-5 0 11 15,0.9957681099587782,2.911609338439413e-17,2085.0,8340.0,1.955643824658182e-08,1
corner_betaHalf_zstar2.5,E_compressed_shift_X_r,1.5421927506843056,2.7896667260957355,0.5528232947176002,2.862167011199731,10.02,203,-5 0 11 15,0.9957681099587782,2.911609338439413e-17,2085.0,8340.0,1.955643824658182e-08,1
corner_betaHalf_zstar2.5,F_compressed_alpha_X_r,0.19343903353105088,2.7896667260957355,0.06934126995226327,2.862167011199731,10.02,203,-5 0 11 15,0.9957681099587782,2.911609338439413e-17,2085.0,8340.0,1.955643824658182e-08,1
