time,price,y,alpha,regime,z,glft_inventory,y_aware_inventory,alpha/y_aware_inventory,regime_aware_inventory,regime_galerkin_inventory,regime_sc_cubic_inventory
81,3.3854413,-0.40713673,-0.0011938192,0,0,-14,-7,7,10,9,11
82,3.4118631,-0.6082863,-0.0095127087,0,0,-12,-7,7,10,8,10
83,3.0076666,-0.43599392,0.00052365015,0,0,-10,-7,7,10,7,8
84,3.7048367,-0.76392005,-0.0052653775,0,0,-10,-7,5,11,4,9
85,3.5932054,-0.30470969,0.0045714826,0,0,-9,-6,4,11,5,9
86,3.263649,0.14421364,0.0046216564,0,0,-8,-6,2,11,5,10
87,3.7380134,0.13980641,0.0034551951,0,0,-8,-6,1,11,5,10
88,3.2938689,0.025998389,0.012545661,0,0,-8,-5,1,12,5,10
89,2.941815,0.14118347,0.0093802351,0,0,-7,-4,1,12,5,10
90,2.8709832,0.26722078,0.0058473162,0,0,-5,-3,2,12,5,10
91,2.4371444,-0.38243432,0.0049382075,0,0,-4,-2,1,12,5,10
92,2.2905069,-0.72970675,-0.00058180898,0,0,-4,-1,1,10,5,9
93,2.1368683,-0.819146,0.007083669,0,0,-3,-2,1,9,5,7
94,2.2160319,-0.62955308,0.011419642,0,0,-3,-3,0,10,5,6
95,2.4345521,-0.88174993,0.00077798128,0,0,-2,-3,0,9,5,6
96,2.1554998,-1.0240446,-0.0077075335,0,0,-1,-3,0,9,5,5
97,2.1822443,-0.83946769,-0.0096633784,0,0,-2,-3,0,8,6,5
98,2.0244744,-0.95734959,-0.010491808,0,0,-2,-4,-1,7,5,5
99,1.9887922,-1.1102179,-0.0085668187,0,0,0,-3,-2,7,4,3
100,1.9564388,-1.6211524,-0.01646338,0,0,1,-3,-2,6,3,3
101,1.6402181,-1.7673881,-0.02197543,0,0,1,-3,-2,6,3,3
102,1.5109926,-2.0778793,-0.023964097,0,0,1,-3,-2,6,4,3
103,1.4309216,-2.0261094,-0.019089924,0,0,3,-2,-2,6,4,3
104,1.4072444,-1.8703259,-0.018557517,0,0,4,-2,-2,4,4,3
105,1.6656518,-1.859014,-0.015746466,0,0,5,-2,-3,1,4,3
106,1.4601436,-2.0597638,-0.015222254,0,0,6,-2,-3,1,4,3
107,1.3110603,-2.3353114,-0.011409822,0,0,6,-2,-3,1,4,3
108,1.2697005,-1.8961357,-0.010562419,0,0,6,-2,-3,1,3,3
109,1.2143787,-1.6940479,-0.016752737,0,0,6,-2,-3,0,1,3
110,0.86779618,-2.1186734,-0.035241837,0,0,6,-1,-2,-1,1,3
111,0.92424273,-2.2827476,-0.040499543,0,0,7,-1,-2,-1,1,3
112,0.75690823,-2.0643878,-0.040720041,0,0,7,0,-2,-1,0,3
113,0.96536602,-2.2487372,-0.041817772,0,0,8,0,-2,-1,0,3
114,1.1483787,-2.3325757,-0.046004518,0,0,8,0,-3,-1,-2,3
115,1.2620223,-2.5248437,-0.048089615,0,0,8,1,-3,-1,-2,3
116,0.75660917,-2.2655791,-0.043726344,0,0,9,1,-3,-2,-2,3
117,0.35209694,-2.4999157,-0.047526006,0,0,9,1,-3,-2,-2,3
118,0.094662263,-2.0928538,-0.055015401,0,0,9,1,-3,-3,-2,2
119,0.34470033,-1.8625659,-0.046578706,0,0,9,1,-3,-3,-3,2
120,0.71616864,-2.0041993,-0.037215735,0,0,9,2,-2,-4,-4,1
121,0.93966643,-1.5770795,-0.027617592,0,0,9,2,-2,-4,-4,1
122,0.95443399,-1.4052893,-0.022151661,0,0,9,2,-3,-5,-4,0
123,0.8271659,-1.9369514,-0.020109213,0,0,9,2,-3,-5,-3,0
124,0.59277176,-2.1396015,-0.033395387,0,0,9,2,-3,-6,-3,0
125,0.55285248,-2.3262496,-0.033741008,0,0,9,2,-3,-6,-3,0
126,0.046886972,-2.1987163,-0.050080735,0,0,10,2,-3,-6,-3,-1
127,0.21420438,-1.6572225,-0.039957153,0,0,10,2,-4,-6,-3,-1
128,0.0070585112,-1.7380617,-0.035987554,0,0,12,3,-4,-6,-4,-1
129,-0.12616257,-2.0390932,-0.028816389,0,0,12,3,-4,-6,-4,-1
130,0.29504472,-1.8040817,-0.02993518,0,0,12,4,-4,-6,-4,-2
131,0.25495289,-2.1084883,-0.025883379,0,0,12,4,-4,-7,-4,-2
132,0.18305771,-2.2609165,-0.029553757,0,0,14,4,-4,-7,-4,-2
